序號,行政區,里別,據點名稱,據點類型,據點地址,聯絡電話,lat,lon
156,中山區,北安里,臺北市中山區北安里辦公處,社區照顧關懷據點 2-3時段,臺北市中山區北安里北安路759巷6號,02-25337936,25.0861907,121.5530869
157,中山區,北安里,社團法人台北市家庭照顧者關懷協會,社區照顧關懷據點 6-7時段,臺北市中山區北安里北安路805巷4弄5號地下,0916-780645,25.0862564,121.5543684
158,中山區,正得里,財團法人台北市中山基督長老教會,社區照顧關懷據點 8-9時段,臺北市中山區正得里林森北路62號;臺北市中山區正 得里中山北路1段53巷23號,0987-369783,25.0489614,121.5242278
159,中山區,正義里,社團法人天主教中華基督神修小會之 友人文關懷與服務促進協會,社區照顧關懷據點 4-5時段,臺北市中山區正義里林森北路73號2樓,0937-937856,25.0493129,121.5248958
160,中山區,民安里,臺北市中山區民安里辦公處,社區照顧關懷據點 4-5時段,臺北市中山區民安里長安西路3號3樓之1,0983-672893,25.050231,121.521014
161,中山區,永安里,臺北市中山區永安里辦公處,社區照顧關懷據點 2-3時段,臺北市中山區永安里明水路389號,0910-857885,25.0776146,121.5465074
162,中山區,永安里,社團法人臺北市生命樹健康關懷協會,社區照顧關懷據點 4-5時段,臺北市中山區永安里北安路458巷41弄50號,0932-314995,25.0789041,121.5465332
163,中山區,朱崙里,臺北市中山區朱厝崙社區發展協會,社區照顧關懷據點 10個時段,臺北市中山區朱崙里龍江路15號3樓(朱崙區民活動 中心),02-27815504 0936-096604,25.0475413,121.5405446
164,中山區,朱園里,臺北市中山區朱園里辦公處,社區照顧關懷據點 4-5時段,臺北市中山區朱園里松江路25巷9號B1,0922-161726,25.0475789,121.5339642
165,中山區,江山里,社團法人台灣厝邊有愛關懷協會(中 興教會),社區照顧關懷據點 6-7時段,臺北市中山區江山里復興北路280巷8號,0928-131257,25.0585956,121.5433582
166,中山區,江寧里,社團法人臺北市基督教合江拿撒勒人 會,社區照顧關懷據點 4-5時段,臺北市中山區江寧里合江街127巷6號,0911-781607,25.0606278,121.539633
167,中山區,行仁里,財團法人臺北市松年長春社會福利基 金會(中山),社區照顧關懷據點 6-7時段,臺北市中山區行仁里龍江路318巷7號1樓,02-25000206,25.0648629,121.5404259
168,中山區,行孝里,臺北市中山區行孝里辦公處,社區照顧關懷據點 4-5時段,臺北市中山區行孝里民族東路282號4樓,02-25172230,25.0677405,121.5358764
169,中山區,行政里,臺北市中山區行政里辦公處,社區照顧關懷據點 4-5時段,臺北市中山區行政里民權東路2段135巷20弄18號1 樓,02-25092994,25.0621287,121.5375231
170,中山區,行政里,臺北市長青福利會,社區照顧關懷據點 4-5時段,臺北市中山區行政里民權東路2段135巷30弄18號1 樓,02-25079552,25.0621287,121.5375231
171,中山區,松江里,財團法人台北市中國基督教靈糧世界 佈道會台北靈糧堂(松江靈糧福音中 心),社區照顧關懷據點 2-3時段,臺北市中山區松江里民權東路2段146號2樓,02-25171835,25.0621287,121.5375231
172,中山區,金泰里,臺北市立濱江國民小學,社區照顧關懷據點 樂齡學堂,臺北市中山區金泰里樂群二路266巷99號,02-85021571#1202,25.0772132,121.5606372
173,中山區,金泰里,臺北市濱江實驗國民中學,社區照顧關懷據點 樂齡學堂,臺北市中山區金泰里樂群二路262號,02-85020126#511,25.0792217,121.5609048
174,中山區,埤頭里,臺北市中山區埤頭里辦公處,社區照顧關懷據點 2-3時段,臺北市中山區埤頭里安東街5之2號,0913-011212,25.0461133,121.5421096
175,中山區,康樂里,財團法人台北市台北中華基督教會,社區照顧關懷據點 6-7時段,臺北市中山區康樂里中山北路2段45巷39號,0932-256884,25.0545129,121.5249793
176,中山區,復華里,臺北市復華長青多元服務中心(財團 法人台灣省私立健順養護中心),社區照顧關懷據點 6-7時段,臺北市中山區復華里遼寧街185巷11號,02-27171393#16,25.0534368,121.5427985
177,中山區,復華里,臺北市復華長青多元服務中心(社團 法人中華民國士林靈糧堂社會福利協 會),社區照顧關懷據點 6-7時段,臺北市中山區復華里遼寧街185巷11號,02-27171393*16,25.0534368,121.5427985
178,中山區,晴光里,臺北市中山區晴光里辦公處,社區照顧關懷據點 6-7時段,臺北市中山區晴光里雙城街18巷20號,0981-201026,25.0653711,121.5230588
179,中山區,集英里,臺北市私立大同高級中學,社區照顧關懷據點 樂齡學堂,臺北市中山區集英里中山北路3段40號,02-25858785#813,25.0671544,121.521804
180,中山區,圓山里,財團法人佳音文教基金會,社區照顧關懷據點 2-3時段,臺北市中山區圓山里雙城街43巷2號1樓,0908-685070,25.0675634,121.5247386
181,中山區,新庄里,臺北市中山區新福里辦公處,社區照顧關懷據點 2-3時段,臺北市中山區新庄里新生北路3段105號,0910-195039,25.0707864,121.5292897
182,中山區,新喜里,財團法人新北市基督教新希望教會 (新喜),社區照顧關懷據點 8-9時段,臺北市中山區新喜里吉林路433巷17號,02-25993693,25.0670215,121.5313213
183,中山區,新福里,財團法人天主教中華道明會,社區照顧關懷據點 4-5時段,臺北市中山區新福里吉林路378號,02-25942294分機4071,25.0645903,121.5298819
184,中山區,聚盛里,財團法人台灣老人急重症基金會(聚 盛據點),社區照顧關懷據點 4-5時段,臺北市中山區聚盛里民生東路1段23巷2號;臺北市 中山區民生東路1段42號7樓之3,02-25224388,25.0582855,121.5243319
185,中山區,聚葉里,臺北市中山區聚葉里辦公處,社區照顧關懷據點 2-3時段,臺北市中山區聚葉里中山北路2段137巷35號,0952-080608,25.0618136,121.5247419
186,中山區,聚葉里,臺北市立新興國民中學,社區照顧關懷據點 樂齡學堂,臺北市中山區聚葉里林森北路511號,02-25714211#603,25.0621164,121.5263108
187,中山區,劍潭里,臺北市中山區劍潭里辦公處,社區照顧關懷據點 2-3時段,臺北市中山區劍潭里通北街143號,0952-630327,25.084918,121.538043
188,中山區,興亞里,臺北市立長安國民中學,社區照顧關懷據點 樂齡學堂,臺北市中山區興亞里松江路70巷11號,02-25112382#604,25.0494929,121.5317817
189,中山區,龍洲里,財團法人台灣老人急重症基金會(龍 洲據點),社區照顧關懷據點 4-5時段,臺北市中山區龍洲里民生東路3段88巷1號 1樓,02-25224388,25.0576214,121.5417828
190,中正區,三愛里,臺北市中正區三愛里辦公處,社區照顧關懷據點 2-3時段,臺北市中正區三愛里連雲街26巷9號,02-23912222,25.0367399,121.5312848
191,中正區,文北里,財團法人伽耶山基金會,社區照顧關懷據點 6-7時段,臺北市中正區文北里濟南路2段36號2樓、3樓、4樓,02-23946800 #404,25.0406143,121.5295905
192,中正區,文盛里,財團法人環宇國際文化教育基金會,社區照顧關懷據點 10個時段,臺北市中正區文盛里羅斯福路3段240巷17弄3號/ 臺北市中正區水源路臨28號,02-23641334,25.0176349,121.5290591
193,中正區,文盛里,財團法人耕莘文教基金會,社區照顧關懷據點 8-9時段,臺北市中正區文盛里辛亥路1段22號4樓,02-23655615分機316,25.00046,121.5545729
194,中正區,文祥里,臺北市中正區文祥社區發展協會,社區照顧關懷據點 4-5時段,臺北市中正區文祥里杭州南路1段131巷22號,0919-319818,25.0360731,121.524089
195,中正區,水源里,台北市寶藏巖文化村協會,社區照顧關懷據點 6-7時段,臺北市中正區水源里汀州路3段230巷14弄10號/臺 北市中正區羅斯福路4段92號4樓,0926-579112,25.0105669,121.5324161
196,中正區,永功里,臺北市中正區永功里辦公處,社區照顧關懷據點 4-5時段,臺北市中正區永功里詔安街114號,0914-152169/0933-016366,25.0256991,121.5109546
197,中正區,永功里,財團法人台北市中國基督教靈糧世界 佈道會台北靈糧堂(古亭靈糧福音中 心),社區照顧關懷據點 8-9時段,臺北市中正區永功里三元街198號1樓/2樓/218號,02-23396540,25.0276511,121.5119608
198,中正區,永功里,臺北市立古亭國民中學,社區照顧關懷據點 樂齡學堂,臺北市中正區中華路2段465號,02-23090986#610,25.024302,121.5104141
199,中正區,永昌里,臺北市中正區永寬社區發展協會,社區照顧關懷據點 6-7時段,臺北市中正區永昌里寧波西街181巷8號1樓,0935-272021,25.0266493,121.5104644
200,中正區,永昌里,臺北市永昌長青會,社區照顧關懷據點 8-9時段,臺北市中正區永昌里寧波西街181巷24號1樓,02-23071068,25.026537,121.510054
201,中正區,光復里,中華全齡關懷協會(博愛),社區照顧關懷據點 4-5時段,臺北市中正區光復里博愛路134號10樓,02-55740079,25.0429683,121.5113287
202,中正區,幸福里,台灣華山開心協會,社區照顧關懷據點 4-5時段,臺北市中正區幸福里忠孝東路1段150號2樓,02-23278616,25.0452974,121.5216527
203,中正區,忠勤里,社團法人臺北市臻估祥社會服務協會,社區照顧關懷據點 10個時段,臺北市中正區忠勤里中華路2段315巷14、16、18 號,02-23036281,25.028344,121.5069829
204,中正區,東門里,臺北市開南高級中等學校,社區照顧關懷據點 樂齡學堂,臺北市中正區東門里濟南路1段6號,02-23278441,25.0431999,121.5204394
205,中正區,林興里,臺北市中正區新林興社區發展協會,社區照顧關懷據點 4-5時段,臺北市中正區林興里汀州路3段27巷16號/水源路臨 28號/汀州路3段2號,0932-235425,25.0196889,121.527328
206,中正區,南門里,臺北市中正區南門里辦公處,社區照顧關懷據點 4-5時段,臺北市中正區南門里博愛路163號,0978-865752,25.0349961,121.511004
207,中正區,南福里,社團法人中華民國愛之語全人關懷教 育協會中正據點,社區照顧關懷據點 4-5時段,臺北市中正區南福里羅斯福路2段44號2樓,02-23215690,25.0279578,121.5214365
208,中正區,南福里,財團法人臺北市松年長春社會福利基 金會(中正),社區照顧關懷據點 8-9時段,臺北市中正區南福里羅斯福路1段94、96號11樓(中 央教會),0932-862740,25.0241961,121.5248845
209,中正區,建國里,中華民國紅十字會臺灣省分會(臺北 市中正老人服務暨日間照顧中心),社區照顧關懷據點 功能型(老服中心),臺北市中正區建國里貴陽街1段60號,02-23814571#106,25.0389013,121.5065606
210,中正區,梅花里,臺北市廣西同鄉會,社區照顧關懷據點 6-7時段,臺北市中正區梅花里忠孝東路1段35號7樓,0936-227747,25.0452974,121.5216527
211,中正區,頂東里,台灣旺齡協會,社區照顧關懷據點 10個時段,臺北市中正區頂東里羅斯福路3段84巷13、15號1樓,02-2368-0690,25.0216107,121.5268154
212,中正區,新營里,臺北市中正區新營共好社區發展協會,社區照顧關懷據點 4-5時段,臺北市中正區新營里金華街20號,0978-865756,25.0316513,121.5204356
213,中正區,網溪里,臺北市中正區網溪社區發展協會,社區照顧關懷據點 4-5時段,臺北市中正區網溪里廈門街113巷12之1號1樓,0930-257567,25.023294,121.5193769
214,中正區,黎明里,社團法人中華婦女聯合會,社區照顧關懷據點 4-5時段,臺北市中正區黎明里館前路6號12樓之2/光復里寶 慶路32-1號B1,0907-828668,25.0460588,121.5148618
215,中正區,螢圃里,財團法人中華基督教廈門街浸信會,社區照顧關懷據點 8-9時段,臺北市中正區螢圃里廈門街81巷20號,02-23687582#213,25.0243156,121.5192916
216,中正區,螢雪里,財團法人采苑藝術文教基金會,社區照顧關懷據點 4-5時段,臺北市中正區螢雪里詔安街29號(螢橋國小新大樓2 樓),02-23018400,25.0251379,121.5143526
217,中正區,龍光里,台北市愛羊全人關懷協會,社區照顧關懷據點 6-7時段,臺北市中正區龍光里和平西路2段15號1樓/17號2 樓,02-23048578,25.0282933,121.5138713
218,中正區,龍興里,臺北市中正區欣龍興社區發展協會,社區照顧關懷據點 4-5時段,臺北市中正區龍興里三元街131號4樓,0917-522883,25.0283,121.511
219,內湖區,大湖里,臺北市內湖區大湖國民小學,社區照顧關懷據點 樂齡學堂,臺北市內湖區大湖里大湖山莊街170號,02-27915870#610,25.0875537,121.6011295
220,內湖區,五分里,財團法人福智慈善基金會(東湖據點),社區照顧關懷據點 8-9時段,臺北市內湖區五分里東湖路106巷2號.6號.8號1樓,0933-922709,25.068302,121.6154551
221,內湖區,內湖里,財團法人福智慈善基金會(內湖據點),社區照顧關懷據點 8-9時段,臺北市內湖區內湖里內湖路2段486、488號3樓,02-27963275,25.0843044,121.5933473
222,內湖區,內湖里,臺北市內湖區碧湖國民小學,社區照顧關懷據點 樂齡學堂,臺北市內湖區內湖里金龍路100號,02-27907161#164,25.0841216,121.5914025
223,內湖區,石潭里,臺北市內湖區石潭社區發展協會,社區照顧關懷據點 6-7時段,臺北市內湖區石潭里成功路2段1號,0929-571110,25.0620782,121.5910579
224,內湖區,石潭里,社團法人社區大學全國促進會,社區照顧關懷據點 6-7時段,臺北市內湖區石潭里新明路22號純美樓3樓,02-66050919#215,25.0603327,121.5905378
225,內湖區,安泰里,臺北市內湖區安泰里社區發展協會,社區照顧關懷據點 8-9時段,臺北市內湖區安泰里安泰街65巷5號1樓,0917-979715,25.0749478,121.6171464
226,內湖區,西康里,臺北市內湖區文湖國民小學,社區照顧關懷據點 樂齡學堂,臺北市內湖區西康里文湖街15號,02-26583515#6400,25.0858788,121.5595814
227,內湖區,西湖里,財團法人基督教救世軍(內湖隊),社區照顧關懷據點 6-7時段,臺北市內湖區西湖里9鄰內湖路1段285巷63弄7號,0972-272756,25.083938,121.5670711
228,內湖區,東湖里,社團法人中華民國香柏樹長者社區關 懷協會(內湖老人服務中心),社區照顧關懷據點 2-3時段,臺北市內湖區東湖里康樂街110巷16弄20號5樓、6 樓,02-26325560 #14,25.0704268,121.6183878
229,內湖區,金湖里,康寧學校財團法人康寧大學,社區照顧關懷據點 6-7時段,臺北市內湖區金湖里康寧路3段75巷137號,02-26321181分機683,25.0754813,121.6095569
230,內湖區,金瑞里,臺北市內湖區碧湖社區發展協會(金 瑞 據點),社區照顧關懷據點 4-5時段,臺北市內湖區金瑞里內湖路3段348巷6號(延平宮),0935-245293,25.091276,121.5833733
231,內湖區,金龍里,臺北市內湖區碧湖社區發展協會,社區照顧關懷據點 6-7時段,臺北市內湖區金龍里金龍路136-1號2樓,0935-190396,25.0857648,121.590059
232,內湖區,康寧里,財團法人基督教中國佈道會,社區照顧關懷據點 6-7時段,臺北市內湖區康寧里康寧路3段99巷39弄66號,0920-432363,25.0742611,121.6106047
233,內湖區,清白里,臺北市內湖區清白里辦公處,社區照顧關懷據點 2-3時段,臺北市內湖區清白里星雲街161巷3號1樓,02-27919637,25.0811515,121.596101
234,內湖區,清白里,臺北市內湖區清白社區發展協會,社區照顧關懷據點 8-9時段,臺北市內湖區清白里星雲街168巷29號1樓/臺北市 內湖區清白里星雲街161巷3號(清白區民活動中心),0988-117571,25.0811491,121.596101
235,內湖區,港都里,社團法人臺北市麗山社區關懷協會,社區照顧關懷據點 8-9時段,臺北市內湖區港都里麗山街348巷22號1-2樓及24號 2樓,0921-057599,25.081954,121.5742339
236,內湖區,港富里,臺北市內湖區港富里辦公處,社區照顧關懷據點 4-5時段,臺北市內湖區港富里麗山街47號,0932-018939,25.0808877,121.5806316
237,內湖區,港墘里,財團法人台灣基督教恩惠福音會,社區照顧關懷據點 10個時段,臺北市內湖區港墘里內湖路1段608號,02-27971000,25.0823089,121.5683655
238,內湖區,港墘里,台北市內湖紳士協會,社區照顧關懷據點 8-9時段,臺北市內湖區港墘里內湖路1段552號(港墘區民活動 中心),0918-819089,25.0787637,121.577007
239,內湖區,湖元里,財團法人台北市基督教台灣貴格會 (忠湖教會),社區照顧關懷據點 2-3時段,臺北市內湖區湖元里民權東路6段56巷5弄8號1樓,02-27923347,25.0647496,121.5730693
240,內湖區,湖興里,中華民國天使之家全人關懷協會,社區照顧關懷據點 10個時段,臺北市內湖區湖興里成功路2段242號1樓,0920-325521,25.065888,121.5900616
241,內湖區,湖興里,臺北市內湖區湖興里辦公處,社區照顧關懷據點 8-9時段,臺北市內湖區湖興里成功路2段320巷19號3樓,02-27914586,25.0676901,121.5899871
242,內湖區,湖濱里,臺北市內湖區湖濱里辦公處,社區照顧關懷據點 4-5時段,臺北市內湖區湖濱里內湖路2段346號1樓,02-27906289,25.0818588,121.5899931
243,內湖區,紫星里,財團法人基督教台灣信義會(內湖思 恩堂),社區照顧關懷據點 8-9時段,臺北市內湖區紫星里康寧路1段62號,0936-649973,25.0757493,121.6094778
244,內湖區,紫雲里,臺北市內湖區紫雲社區發展協會,社區照顧關懷據點 6-7時段,臺北市內湖區紫雲里康寧路1段228號1樓,02-27913337 0933-405308,25.0757493,121.6094778
245,內湖區,週美里,臺北市內湖區週美里辦公處,社區照顧關懷據點 4-5時段,臺北市內湖區週美里南京東路6段330巷18弄12號1 樓,0921-140488,25.0610146,121.5871576
246,內湖區,瑞陽里,財團法人台北市基督教台灣貴格會內 湖慈光堂,社區照顧關懷據點 4-5時段,臺北市內湖區瑞陽里文德路66巷49弄5號,0933-028939,25.0772459,121.5820736
247,內湖區,碧山里,財團法人台福基督教會,社區照顧關懷據點 4-5時段,臺北市內湖區碧山里內湖路3段143巷7號1樓,02-87928125,25.0871243,121.5896464
248,內湖區,寶湖里,臺北市內湖社區安全與健康協進會,社區照顧關懷據點 6-7時段,臺北市內湖區寶湖里民權東路6段208號,0928-598601,25.0668288,121.5965738
249,內湖區,寶湖里,臺北市內湖區灣仔社區發展協會,社區照顧關懷據點 8-9時段,臺北市內湖區寶湖里民權東路6段208號6樓(臺北市 網球中心6樓),0961-365388,25.0675708,121.596956
250,文山區,木柵里,臺北市文山區木柵國民小學,社區照顧關懷據點 樂齡學堂,臺北市文山區木柵里木柵路3段191號,02-29391234#653,24.9926024,121.5669693
251,文山區,木新里,財團法人利伯他茲教育基金會,社區照顧關懷據點 10個時段,臺北市文山區木新里永安街1號,02-29394359,24.9874482,121.5702677
252,文山區,木新里,財團法人臺北市松年長春社會福利基 金會(開元),社區照顧關懷據點 6-7時段,臺北市文山區木新里開元街25、27號,02-29393480,24.9891607,121.5697605
253,文山區,忠順里,臺北市文山區忠順社區發展協會,社區照顧關懷據點 10個時段,臺北市文山區忠順里興隆路4段145巷9弄3號;興隆 路4段145巷30號;忠順街2段22號2樓,0953-229598,24.9852731,121.5620053
254,文山區,明義里,中華民國紅心字會(興隆),社區照顧關懷據點 10個時段,臺北市文山區明義里興隆路4段105巷47號B棟1樓,02-29367119,24.9881877,121.5629351
255,文山區,明義里,臺北市文山區明道國民小學,社區照顧關懷據點 樂齡學堂,臺北市文山區明義里木柵路二段138巷61號,02-2939-2821#140,24.9873763,121.5627635
256,文山區,明興里,社團法人台北市文山區明興社區發展 協會,社區照顧關懷據點 10個時段,臺北市文山區明興里木柵路2段109巷25弄6號;興 隆路4段61號,0917-556568,24.990145,121.562851
257,文山區,指南里,臺北市文山區指南里辦公處,社區照顧關懷據點 2-3時段,臺北市文山區指南里指南路3段33巷34號;指南路3 段12號,02-22342099,24.9844629,121.5804241
258,文山區,政大里,臺北市文山區政大里辦公處,社區照顧關懷據點 2-3時段,臺北市文山區政大里政大二街51號,0975-586970,24.9868658,121.5834222
259,文山區,景仁里,臺北市文山區景人社區發展協會,社區照顧關懷據點 8-9時段,臺北市文山區景仁里景福街5號1樓,0937-939606,24.9993672,121.5392681
260,文山區,景行里,財團法人新北市私立天道總會社會福 利慈善事業基金會,社區照顧關懷據點 4-5時段,臺北市文山區景行里景中街30巷12號4樓之7,0958-958918,24.9921961,121.5422633
261,文山區,景東里,臺北市文山區景東里辦公處,社區照顧關懷據點 4-5時段,臺北市文山區景東里景興路153巷1號1樓,0932-308802,24.9937915,121.5449911
262,文山區,景美里,財團法人佳醫健康基金會,社區照顧關懷據點 4-5時段,臺北市文山區景美里羅斯福路6段336號(滬江高中信 義樓102教室),0984-367171,24.9894519,121.5389166
263,文山區,景華里,台灣迦美福音傳播協會,社區照顧關懷據點 6-7時段,臺北市文山區景華里三福街74巷2號1樓,0932-209329 0939-910698,24.9976063,121.5443476
264,文山區,景華里,財團法人臺北市松年長春社會福利基 金會(景華),社區照顧關懷據點 6-7時段,臺北市文山區景華里景華街49巷1號,02-25000261,24.9952774,121.5427611
265,文山區,景慶里,台北市文山區景慶社區發展協會,社區照顧關懷據點 8-9時段,臺北市文山區景慶里景福街159號,0922-313747,24.995373,121.536782
266,文山區,景慶里,台北市視尾關懷互助協會,社區照顧關懷據點 8-9時段,臺北市文山區景慶里萬慶街6號;臺北市文山區景福 街281號;臺北市文山區羅斯福路6段393號6~9樓,02-89351788,24.9922808,121.540284
267,文山區,華興里,臺北市文山區華興里辦公處,社區照顧關懷據點 8-9時段,臺北市文山區華興里木柵路1段264號;木柵路1段 311巷1號;木柵路2段2巷,0905-991580,25.0250117,121.5450092
268,文山區,順興里,台北市文山區順興社區發展協會,社區照顧關懷據點 10個時段,臺北市文山區順興里興隆路4段165巷12號1、2樓 (協會活動會所);忠順街2段22號2樓(忠順區民活),0935-859237,24.9840629,121.5626204
269,文山區,順興里,臺北市文山區順興里辦公處,社區照顧關懷據點 8-9時段,臺北市文山區順興里保儀路138巷28號2樓;忠順街 2段22號2樓(忠順區活)、中崙路13號(忠順廟),0934-143675,24.984471,121.5655202
270,文山區,萬年里,臺北市文山區萬年社區發展協會,社區照顧關懷據點 2-3時段,臺北市文山區萬年里羅斯福路5段150巷35號1樓,0921-923357,25.0063887,121.538108
271,文山區,萬年里,臺北市文山區萬福國民小學,社區照顧關懷據點 樂齡學堂,臺北市文山區萬年里羅斯福路5段170巷32號,02-29353123#151,25.0054946,121.5368219
272,文山區,萬有里,社團法人臺北市文山區三福社區發展 協會,社區照顧關懷據點 4-5時段,臺北市文山區萬有里興隆路1段238之1號1樓,0988-622378,24.999017,121.5453128
273,文山區,萬和里,臺北市文山區萬和社區發展協會,社區照顧關懷據點 6-7時段,臺北市文山區萬和里汀州路4段251號1樓、253號1 樓;萬福區民活動中心,02-89310117,25.0019951,121.5359097
274,文山區,萬芳里,社團法人台北市基督教萬芳浸信會,社區照顧關懷據點 6-7時段,臺北市文山區萬芳里萬美街1段19巷5號、5-1號,0989-549622,25.0011361,121.5662678
275,文山區,萬美里,臺北市文山區萬美里辦公處,社區照顧關懷據點 4-5時段,臺北市文山區萬美里萬美街2段2巷6號1樓;萬和街 2號(萬芳4號公園教室),0972-246039,25.00309,121.5622107
276,文山區,萬美里,臺北市文山區萬芳國民小學,社區照顧關懷據點 樂齡學堂,臺北市文山區萬美里萬和街1號,02-22301232#841,25.0009543,121.5675687
277,文山區,萬盛里,臺北市文山區萬盛里辦公處,社區照顧關懷據點 2-3時段,臺北市文山區萬盛里興隆路1段15號3樓,0972-246012,25.0041559,121.5391666
278,文山區,萬祥里,臺北市文山區武功國民小學,社區照顧關懷據點 樂齡學堂,臺北市文山區萬祥里興隆路1段68號,02-29314360#20,25.0041559,121.5391666
279,文山區,萬隆里,臺北市文山區萬龍社區發展協會,社區照顧關懷據點 2-3時段,臺北市文山區萬隆里萬隆街27號1樓,02-29345047,25.0002637,121.5379606
280,文山區,萬興里,台灣美滿家庭社區服務協會,社區照顧關懷據點 6-7時段,臺北市文山區萬興里指南路2段11號,0963-328599,24.9884429,121.5734331
281,文山區,萬興里,臺北市私立大誠高級中學,社區照顧關懷據點 樂齡學堂,臺北市文山區秀明路2段175號,02-22348989#63,24.9909953,121.5785568
282,文山區,試院里,臺北市文山區試院里辦公處,社區照顧關懷據點 2-3時段,臺北市文山區試院里和興路88號2樓,02-29365522#248,24.9850552,121.5493036
283,文山區,樟新里,臺北市文山區樟新社區發展協會,社區照顧關懷據點 6-7時段,臺北市文山區樟新里一壽街22號9樓,0972-246023,24.9796917,121.5564657
284,文山區,樟新里,社團法人中華民國香柏樹長者社區關 懷協會(樟新),社區照顧關懷據點 6-7時段,臺北市文山區樟新里實踐段三小段789地號,0905-156910,24.982055,121.5618619
285,文山區,樟腳里,臺北市文山區樟林社區發展協會,社區照顧關懷據點 8-9時段,臺北市文山區樟腳里恆光街45號7樓和8樓,0911-183802,24.9824335,121.5673037
286,文山區,興光里,臺北市文山區興華國民小學,社區照顧關懷據點 樂齡學堂,臺北市文山區興光里興隆路3段125巷6號,0936-694012,24.9999602,121.5592917
287,文山區,興安里,社團法人中華恆動能健康促進協會 (興安),社區照顧關懷據點 4-5時段,臺北市文山區興安里興隆路2段88之2號1樓、5樓 (5F興安區民活動中心、5F文山婦女支持培力中心),02-22393070#143,25.000355,121.5490035
288,文山區,興安里,臺北市文山老人服務暨日間照顧中心 (財團法人恆安社會福利慈善事業基 金會),社區照顧關懷據點 6-7時段,臺北市文山區興安里興隆路2段88之3號1樓,02-22344893,24.9998821,121.548717
289,文山區,興邦里,臺北市文山區興邦里辦公處,社區照顧關懷據點 2-3時段,臺北市文山區興邦里興隆路2段203巷2弄10號1樓,0975-586972,25.0013345,121.5498781
290,文山區,興邦里,社團法人臺北市文山區德芳社區發展 協會,社區照顧關懷據點 6-7時段,臺北市文山區興邦里興隆路2段153巷6弄5號1樓; 興隆路2段97號4樓,0952-572176,25.0012313,121.5480853
291,文山區,興邦里,臺北市文山區興德國民小學,社區照顧關懷據點 樂齡學堂,臺北市文山區興邦里興隆路2段235號,02-29329431#15,25.0017376,121.5507474
292,文山區,興旺里,臺北市文山區興旺社區發展協會,社區照顧關懷據點 6-7時段,臺北市文山區興旺里福興路5號,0936-048808,25.0022154,121.5513837
293,文山區,興旺里,臺北市立興福國民中學,社區照顧關懷據點 樂齡學堂,臺北市文山區興旺里福興路80號,02-29322024#511,25.0049411,121.5499429
294,文山區,興昌里,臺北市文山區興昌里辦公處,社區照顧關懷據點 4-5時段,臺北市文山區興昌里辛亥路4段199號,0960-604305,25.0026702,121.5557711
295,文山區,興家里,財團法人基督教台灣信義會(家家歌 珊堂),社區照顧關懷據點 4-5時段,臺北市文山區興家里興隆路3段207巷6弄8號,02-22308169#12,24.9947931,121.5600352
296,文山區,興得里,臺北市文山區興得里辦公處,社區照顧關懷據點 4-5時段,臺北市文山區興得里興隆路3段222號(1樓廣場及 4-5樓社區教室),0905-596939,24.9969391,121.559373
297,文山區,興業里,臺北市文山區興業里辦公處,社區照顧關懷據點 2-3時段,臺北市文山區興業里興隆路2段160號10樓,0938-307588,25.0015727,121.5514273
298,文山區,興業里,臺北市向榮社福協進會,社區照顧關懷據點 4-5時段,臺北市文山區興業里興隆路2段160號10樓,0931-041002,25.0015727,121.5514273
299,文山區,興業里,社團法人中華民國沐光家園癌友關懷 協會,社區照顧關懷據點 8-9時段,臺北市文山區興業里興隆路2段220巷51-1號,0922-323338,24.9996658,121.5520065
300,文山區,興福里,臺北市文山區興福里辦公處,社區照顧關懷據點 4-5時段,臺北市文山區興福里景華街121巷7弄1號,0939-159495,24.996212,121.5467867
301,北投區,八仙里,臺北市北投區八仙里辦公處,社區照顧關懷據點 2-3時段,臺北市北投區八仙里北投路1段臨30號、臺北市北投 區八仙里北投路1段臨20號(西安橋南側室外空地),02-28912105#234,25.1229695,121.5014998
302,北投區,大屯里,臺北市北投區大屯里辦公處,社區照顧關懷據點 2-3時段,臺北市北投區大屯里復興三路521巷18號,0985-325333,25.1597909,121.4996507
303,北投區,大同里,臺北市北投區大同里辦公處,社區照顧關懷據點 4-5時段,臺北市北投區大同里大同街135號,0928-965371,25.135,121.498575
304,北投區,大同里,臺北市北投區新大同社區發展協會,社區照顧關懷據點 4-5時段,臺北市北投區大同里育仁路57號,0922-495528,25.1336597,121.4980855
305,北投區,中心里,社團法人中華仁親社區關懷協會(北 投好厝邊),社區照顧關懷據點 6-7時段,臺北市北投區中心里大業路721號1樓,0933-057832,25.1373166,121.5021377
306,北投區,中心里,臺北市北投區逸仙國民小學,社區照顧關懷據點 樂齡學堂,台北市北投區中心里新民路2號,02-28914537#153,25.1378856,121.5054173
307,北投區,中庸里,台北市愛肯關懷協會,社區照顧關懷據點 4-5時段,臺北市北投區中庸里雙全街19巷4號1樓,0928-086802,25.1385428,121.5012016
308,北投區,中庸里,台北市北投青溪協會,社區照顧關懷據點 4-5時段,臺北市北投區中庸里珠海路2-1號,02-28922200,25.137583,121.501632
309,北投區,文化里,臺北市北投區文化里辦公處,社區照顧關懷據點 2-3時段,臺北市北投區文化里文化三路48號1樓,02-28912105,25.1385248,121.4980671
