序號,單位名稱,立案地址,立案日期,設立許可字號,機構負責人,電話,傳真,可提供自費服務評鑑結果,特約服務區域,lat,lon
110,臺北市私立悠樂活居家⻑照機構,臺北市⼤同區重慶北路⼀段67號3樓,110年1月4日,北市社老字第10932065141號,周至衡,02-77467520,,V 113年評鑑合格,臺北市全區,25.0091768,121.5373278
111,馨瀅股份有限公司附設私立馨瀅居家⻑照機構,臺北市⼤同區迪化街⼀段149號3樓,109年7月9日,北市社老第10931114841號,陳佳良,02-2552-7626,,Ｖ 112年評鑑合格,臺北市全區,25.0091768,121.5373278
112,奇恩健康有限公司附設臺北市私立翔旭居家⻑照機構,臺北市大同區寧夏路23-1號2樓206室,112年3月1日,北市社老字第11230113041號,馮兆筠,0955-568486,,V 113年評鑑合格,信義、大安、大同、萬華、士林、松山,25.0551446,121.5151505
113,育和有限公司附設臺北市私立育和居家⻑照機構,臺北市大同區寧夏路23-1號2樓202室,111年2月24日,北市社老字第11130199401號,陳彥凱,0918-026-709,,Ｖ 113年評鑑合格,大安區、中正區、萬華區、大同區、中山區,25.0551446,121.5151505
114,臺北市立聯合醫院居家式服務類⻑期照顧服務機構,臺北市大同區鄭州路145號1樓,107年5月18日,北市社老字第10737043000號,王智弘,02-2555-3000,2559-5249,Ｖ 112年評鑑合格,士林、北投、南港、信義、松山、大安、中正、萬華、大同、中山,25.0513786,121.5092691
115,臺北市私立樂齡居家⻑照機構,臺北市⼤同區重慶北路⼀段30號3樓(322室),112年7月11日,北市社老字第11231013501號,陳秉睿,0920-851-115,,V,萬華、大同、松山、大安,25.0091768,121.5373278
116,社團法⼈台灣喜樂家族協會附設臺北市私立冠冕居家⻑照機構,臺北市士林區雙溪街140號1樓,111年12月9日,北市社老字第11131760241號,林黃寶彩,02-2832-0533,2834-0743,Ｖ 113年評鑑合格,士林、北投、中山,25.1004677,121.5244328
117,臺北市私立跑居家⻑照機構,臺北市士林區重慶北路4段248號3樓313室,108年10月31日,北市社老字第10831613991號,吳正昕,02-2816-1255,,Ｖ 111年評鑑合格,士林、北投、松山、中正、萬華、大同、中山,25.0866321,121.5114181
118,鴻源⻑期照顧股份有限公司附設臺北市私立旭樂居家⻑照機構,臺北市士林區承德路4段80巷2號3樓,110年5月20日,北市社老字第11030651331號,杜彦甫,02-2885-8000,,V 113年評鑑合格,士林、北投、萬華、大同、松山、內湖,25.0823782,121.5228736
119,社團法⼈中華⺠國⼠林靈糧堂社會福利協會附設臺北市私立安馨居家式服務類⻑期照顧服務機構,臺北市士林區延平北路5段83巷28弄11號1樓,107年2月12日,府社老字第10732130700號,劉群茂,02-2811-0515,2811-0516,Ｖ 112年評鑑合格,士林、北投、內湖、南港、松山、大同、中山,25.081583,121.5091974
120,鴻養銀髮事業股份有限公司附設臺北市私立常耕居家⻑照機構,臺北市大同區酒泉街102號2樓,112年5月10日,北市社老字第11230649881號,凃雅亭,02-2815-1091,,V 113年評鑑合格,北投、士林、大同,25.0718756,121.5143593
121,臺北市私立安⺠居家⻑照機構,臺北市士林區文林路342號7樓K711室,109年5月18日,北市社老字第10930717311號,黃逸⺠,02-2883-4074,0926-079-243,Ｖ 111年評鑑合格,士林、北投,25.0932892,121.5254345
122,中化銀髮事業股份有限公司附設臺北市私立中化銀髮居家式服務類⻑期照顧服務機構,臺北市士林區中山北路5段699巷1號1樓,107年2月2日,北市社老字第10730765700號,王謝怡貞,02-2835-5058,2797-6656,Ｖ 113年評鑑合格,臺北市全區,25.0976624,121.5268776
123,臺北市私立樂陽居家⻑照機構,臺北市士林區士商路110號1樓,111年9月1日,北市社老字第11131216261號,陳威仁,02-7751-6063,,Ｖ 113年評鑑合格,士林、北投、大同、松山、萬華、信義、大安、文山、內湖,25.0919535,121.5188272
124,財團法人私立廣恩老人養護中心,新北市新店區北宜路2段579巷45號,107年8月22日,新北府社老字第1071075181號,林偉峰,02-2930-7999,8282-6367,Ｖ,信義、松山、大安、文山、中正、萬華、大同、中山,24.9557416,121.5653482
125,新北市私立永安居家⻑照機構,新北市新店區中正路399巷13號1樓,108年1月7日,新北府衛高字第1081814007號,周雅婷,02-8665-6656,,Ｖ,臺北市全區,24.9768557,121.5341141
126,社團法⼈愛福家協會附設新北市私立愛福家居家式服務類⻑期照顧服務機構,新北市板橋區雙十路二段217號4樓,107年6月28日,新北府衛心字第1071196568號,涂林德媛,02-2250-0177,2503-1669 2250-0403,Ｖ,中正、萬華、大同、大安、中山,25.0290327,121.4730242
127,新北市私立常錦居家⻑照機構,新北市板橋區國慶路149巷14弄8號,108年9月26日,北市社老字第1093072103號,徐庭云,02-89520607,,Ｖ,未特約,24.9973237,121.4615492
128,齡活股份有限公司附設新北市私立齡活居家⻑照機構,新北市板橋區海山路19號1樓(103室),109年3月28日,新北府衛高字第1091246566號,彭紹宇,(02)7751-8056,,Ｖ,臺北市全區,25.0091435,121.4686749
129,龍騰⻑期照護有限公司附設新北市私立童馨園居家⻑照機構,新北市板橋區東門街32號3樓,109年3月23日,新北府衛高字第1090473666號,施卓諭,0919-319-207,,V,未特約,25.0080938,121.4580415
130,有限責任新北市愛齡照護服務勞動合作社附設新北市私立到咖⼿居家⻑照機構,新北市板橋區明德街21號2樓,108年3月25日,新北府衛高字第1080488781號,林昌坤,02-22726233,02-27640298,Ｖ 109年新北市評鑑合格,大同、中山、大安、中正,25.0108716,121.4599402
131,新北市私立恩典居家⻑照機構,新北市板橋區文化路二段451號4樓之1,110年3月12日,新北府衛高字第1100946399號,邱啟盛,02-22552916,02-22552919,V,未特約,25.0335137,121.4752924
132,新北市私立恩勤居家⻑照機構,新北市板橋區文化路1段189號7樓,108年10月29日,新北府衛高字第1081855560號,陳蕙汎,0973-731340,,Ｖ,臺北市全區,24.9544899,121.3552368
133,永愛居家⻑照有限公司附設新北市私立永愛居家⻑照機構,新北市汐⽌區新台五路⼀段159號14樓,108年4月30日,新北府衛高字第1101307123號,王薏茹,02-26430199,,Ｖ,內湖、南港、松山,25.0623874,121.6544347
134,財團法人天下為公社會福利慈善事業基金會附設新北市私立天下為公居家式服務類⻑期照顧服務機構,新北市汐止區大同路三段425號,107年5月24日,新北府衛心字第1070904971號,胡世賢,02-8648-8388,8648-1868 8648-7988,Ｖ,臺北市全區,25.0715683,121.6775006
135,社團法⼈中華⻑照協會附設新北市私立永樂居家式服務類⻑期照顧服務機構,新北市永和區文化路155號,107年1月11日,新北府心衛字第1062591252號,金浩鑫,02-29212212,,Ｖ,未特約,25.0162816,121.5103535
136,天主教耕莘醫療財團法人附設新北市私立永和耕莘居家式服務類⻑期照顧服務機構,新北市永和區中興街52巷1弄12號1樓,107年6月25日,新北府衛高字1080186857號,鍾安住,02-2928-6060,#21400 2920-7683,Ｖ,中山、大同,25.011246,121.517095
137,潤康⻑期照護有限公司附設新北市私立潤康居家⻑照機構,新北市中和區景平路431巷68號1樓,109年11月26日,新北府衛高字第1100816967號,施凱鈞,02-77519133,,V,信義、松山、大安、中正、萬華、大同、中山,24.9941765,121.5007403
138,新北市私立立穎居家⻑照機構,新北市中和區立德街204號3樓,108年3月27日,新北府衛高字第1101078677號,周惠貞,0968-665686,,Ｖ,未特約,25.0094337,121.4847609
139,社團法⼈台灣立享⻑照服務教育發展協會附設新北市私立立享居家⻑照機構,新北市中和區橋安街9號7樓,108年9月19日,新北府衛高字第1081729729號,王淳中,02-2248-0061,,Ｖ,士林、松山、大安、中正、萬華、大同、中山,25.0035626,121.4925781
140,財團法人台灣省私立健順養護中心附設新北市私立健順居家式服務類⻑期照顧服務機構,新北市中和區大勇街96號2樓,107年6月28日,新北府衛高字第1071135679號,廖慧媛,02-7703-1978,2542-0222,Ｖ,松山、中山,24.9949122,121.5180753
141,新北市私立旺福居家⻑照機構,新北市三重區福隆路48號1樓,107年3月5日,新北府衛高字第1080218482號,黃雅萍,02-8985-7453,8985-6138,Ｖ,士林、北投、松山、大安、文山、中正、萬華、大同、中山,25.0785475,121.4924739
142,有限責任新北市全⼈⻑照服務勞動合作社附設新北市私立全⼈居家⻑照機構,新北市三重區集美街112巷51號,109年6月30日,新北府衛高字第1091176202號,李倫文,02-29757512,,Ｖ,臺北市全區,25.0544015,121.4911912
143,新北市私立全曜居家式服務類⻑期照顧服務機構,新北市三重區⻑元街100之2號1、2樓,107年5月23日,新北府衛高字第1070904867號,黃明聖,02-2972-2060,2972-2080,Ｖ,臺北市全區,25.0614534,121.4867114
144,樂銓管理顧問股份有限公司附設新北市私立樂銓居家⻑照機構,新北市三重區正義北路210號9樓,109年2月7日,新北府衛高字第1090606629號,鄭宝蓮,02-29866262,,Ｖ,士林、內湖、信義、松山、大安、中正、萬華、大同、中山,25.0675147,121.4961443
145,靜安健康股份有限公司附設臺北市私立靜安健康居家⻑照機構,臺北市南港區玉成街89之1號1樓,112年9月4日,北市社老字第11231260351號,孫維欣,02-2653-5358,0975-250-820,Ｖ,大安、信義、南港,25.0474421,121.5821941
146,采宣股份有限公司附設基隆市私立采宣居家式服務類⻑期照顧服務機構,基隆市七堵區百六街111號,108年1月23日,基府社老貳字第1080203616號,朱秋蓉,02-24510380,2451-0390,Ｖ,未特約,25.0856681,121.6972782
147,愛斯特居服有限公司附設臺北市私立愛斯特居家⻑照機構,臺北市⼤同區市⺠⼤道⼀段211號11樓之27,112年8月23日,北市社老字第11231064441號,薛弼仁,0922-225499,,V,大同、萬華、松山、士林、大安,25.0329694,121.5654177
148,臺北市私立容⽲居家⻑照機構,臺北市大同區承德路三段109號4樓,112年9月4日,北市社老字第11231115021號,詹玉容,0933-655082,,V,大同區、士林區,25.0667122,121.5186434
149,好服有限公司附設臺北市私立顧得豪居家⻑照機構,臺北市萬華區萬大路187巷42號1樓,112年5月26日,北市社老字第11230702251號,許祥熙,0928-431620,,V 113年評鑑合格,萬華,25.0280242,121.5014797
150,天勤健康⽣活事業有限公司附設臺北市私立天勤居家⻑照機構,臺北市大安區復興南路二段65號6F之5,112年7月10日,北市社老字第11230811031號,林詠翔,77522272#260,,V,大安、大同、萬華、松山、信義,25.0304689,121.5436742
151,臺北市私立來服居家⻑照機構,臺北市大安區忠孝東路四段221號12樓（1230室）,112年9月25日,北市社老字第11231252721號,褚晏君,0928-610-498,,V,大安、信義、文山,25.0416991,121.5525656
152,皓仁健康照護事業有限公司附設臺北市私立皓仁居家⻑照機構,臺北市大安區四維路198巷29號2樓,112年10月27日,北市社老字第11231491271號,謝李麗雲,02-77093866,0977028916(負責人),V,大安、信義、文山,25.027203,121.5458652
153,真心健康事業有限公司附設臺北市私立真心居家長照機構,臺北市大同區歸綏街209號5樓之1,112年11月2日,北市社老字第11231489561號,莊媞涵,02-2550-0108,0965-830-268,V,大同、士林、萬華,25.0582582,121.5119294
154,善誠健康事業股份有限公司附設臺北市私立⼤安善誠居家⻑照機構,臺北市大安區忠孝東路4段148號4樓之1,112年12月4日,北市社老字第11231710891號,林仁德,02-27790951,,V,松山、大安、文山,25.0419925,121.5335165
155,佳臻有限公司附設臺北市私立佳臻居家⻑照機構,臺北市⼤同區⻑安⻄路84號6樓之1,112年12月6日,北市社老字第11231965681號,陳瀅琇,02-2559-8131,0975-331-162,V,大同,25.0329694,121.5654177
156,安照股份有限公司附設臺北市私立安照居家⻑照機構,臺北市松山區南京東路5段356號8樓之1(801室),112年11月20日,北市社老字第11231528121號,李盛豊,02-27773112,0966-226-801,V,內湖、信義、松山,25.0518277,121.5574266
157,采鋐整合行銷股份有限公司附設臺北市私立采鋐照護伴隨居家⻑照機構,臺北市信義區信義路5段5號2樓2B21及2B22室(M層),112年12月8日,北市社老字第11231713641號,張向昕,(02)6626-9168,(02)6626-8686分機184,V,信義、大安,25.0332591,121.562324
158,臺北市私立誠達居家⻑照機構,臺北市信義區忠孝東路5段476號8樓802室,113年1月12日,北市社老字第11232119421號,陳芝綾,0935-191-597,,V,信義、大安、松山,25.0406521,121.5652968
159,臺北市私立家福居家⻑照機構,臺北市信義區松仁路252號1樓,110年1月8日,北市社老字第10931906231號,張嘉真,(02)8786-1127 0963-315-634,,V,未特約,25.0244427,121.5692352
160,嘉祿健康事業有限公司附設臺北市私立佳祿居家⻑照機構,臺北市松山區八德路4段656號4樓(666室),113年3月6日,北市社老字第11330080541號,袁邦彥,0905-512-171,02-27533520,V,內湖、松山,25.0498599,121.5756971
161,守護星股份有限公司附設臺北市私立守護星居家⻑照機構,臺北市大安區信義路四段296號15樓5-2室,113年2月29日,北市社老字第11330078591號,賴德綸,(02)27012891,0952-120-626 (負責人),V,大安、信義、松山,25.0328864,121.5547954
162,凱安居家有限公司附設臺北市私立凱安居家⻑照機構,臺北市⼤安區敦化南路⼀段192號3樓之3,113年3月8日,北市社老字第11330096601號,張凱豪,02-27111885,'0963227924,V,大安、文山、松山,25.0329636,121.5654268
163,泉益居家有限公司附設臺北市私立眾益居家⻑照機構,臺北市萬華區萬大路322巷67號,113年3月12日,北市社老字第11330195131號,詹弘毅,02-2305-8860,,V,萬華、大安、大同,25.0244594,121.4980064
164,好拾光居家⻑照有限公司附設臺北市私立好拾光居家⻑照機構,臺北市士林區重慶北路四段248號4樓（407室）,112年12月13日,北市社老字第11231948871號,邱浩宇,0955-166-071,,V,士林、北投、內湖,25.0866321,121.5114181
165,苷⼼有限公司附設臺北市私立苷⼼居家⻑照機構,臺北市大安區車層里忠孝東路四段235號11樓1113室,113年3月29日,北市社老字第11330243571號,陳韋碩,0905817541,,V,大安、信義、大同、松山、士林,25.041762,121.553756
166,臺北市私立⽲雅居家⻑照機構,臺北市大安區忠孝東路四段221號9樓A室,113年4月8日,北市社老字第11330264221號,林岑熹,(02)87719922,,V,大安、信義、松山,25.0416991,121.5525656
167,財團法⼈中華⺠國唐⽒症基⾦會附設臺北市私立唐⽒症居家⻑照機構,臺北市南港區忠孝東路7段520號7樓,113年4月18日,北市社老字第11330472411號,林正俠,02-2789-1966,,V,南港、內湖,25.0457629,121.5828308
168,安⼼居家服務有限公司附設台北市私立安⼼居家⻑照機構,臺北市大安區忠孝東路四段300號五樓,113年5月10日,北市社老字第11330510321號,蔡峻瑋,(02)77555066,,V,大安、信義、南港,25.0411577,121.5562393
169,夢想銀髮⽅⾈股份有限公司附設臺北市私立花博居家⻑照機構,臺北市松山區南京東路三段311號8樓,113年5月23日,北市社老字第11330581901號,朱伟仁,02-2545-5556,2716-0691,V,大安、松山、大同,25.0519849,121.5472603
170,芯昀有限公司附設臺北市私立芯昀居家⻑照機構,臺北市北投區珠海路31號⼀樓,113年5月24日,北市社老字第11330593241號,徐筱昀,02-2893-7878,0972972161,V,士林、北投,25.1381938,121.502369
171,四正勤關懷照護有限公司附設臺北市私立四正勤居家⻑照機構,臺北市大同區延平北路3段4號5樓之1(R530室),113年5月24日,北市社老字第11330564911號,李佩華,0965-331-778,,V,大同、士林、松山,25.0634463,121.5110533
