序號,縣市別,鄉/鎮/市/區,服務村里,申請單位名稱,地址,聯絡人,電話,"服務起始日
(核定日期)",lat,lon
153,臺北市,北投區,榮光里;文林里;吉利里;石牌里;裕民里;振華里;,臺北市北投區榮光社區發展協會,臺北市北投區榮光里石牌路1段166巷43弄15號,蘇寶鈴,02-28231593,094/10/18,25.1133685,121.510814
154,臺北市,北投區,智仁里;,臺北市北投區智仁里辦公處,臺北市北投區智仁里杏林二路74巷3號,潘奕呈,0928-965393,,25.142925,121.495911
155,臺北市,北投區,桃源里;,臺北市北投區桃源里辦公處,臺北市北投區桃源里中央北路3段40巷7號,劉肇堂,0928-965521,,25.1386786,121.4858238
156,臺北市,北投區,榮華里;裕民里;振華里;建民里;尊賢里;石牌里;,台北市石牌全人關懷協會,臺北市北投區榮華里明德路281號1樓、明德路283號2樓,高淑君,02-28262602*11  /  0956728508,,25.1150378,121.5221147
157,臺北市,北投區,中央里;,台北市青溪婦女協會,臺北市北投區中央里中央南路1段196巷8號2樓,王韻嵐,0958-176176,,25.132167,121.501419
158,臺北市,北投區,石牌里;文林里;,臺北市北投區新石牌社區發展協會,臺北市北投區石牌里自強街120巷15弄8號,劉育妏,02-28236699,,25.1103163,121.5162782
159,臺北市,北投區,石牌里;,臺北市北投區我愛石牌社區發展協會,臺北市北投區石牌里建民路116巷13號,洪美惠,02-28201369,,25.109843,121.517891
160,臺北市,北投區,大同里;,臺北市北投區大同里辦公處,臺北市北投區大同里大同街135號,傅俊維,0928-965371,,25.135,121.498575
161,臺北市,北投區,大同里;,臺北市北投區新大同社區發展協會,臺北市北投區大同里育仁路57號,黃澤雙,0922-495528,,25.1336597,121.4980855
162,臺北市,北投區,林泉里;,財團法人台北市北投文化基金會,臺北市北投區林泉里中山路5-12號(據點設於北投社區大學內，同為新民國中後門地址),張鈺微 / 李佳蓉,02-28917453,,25.1377417,121.5090043
163,臺北市,北投區,尊賢里;,臺北市北投區尊賢社區發展協會,臺北市北投區尊賢里尊賢街302巷19號1樓,張勻通,0927-955059,,25.1181539,121.507691
164,臺北市,北投區,吉利里;,臺北市北投區吉利里辦公處,臺北市北投區吉利里石牌路1段39巷100號1樓及5樓(臺北市北投運動中心),林泓逸,0928-965310,,25.1165006,121.5098316
165,臺北市,北投區,永明里;,台北市石牌長青會(永明里),臺北市北投區永明里義理街65號1樓,王韻嵐,0958-176176,,25.1174104,121.5156847
166,臺北市,北投區,稻香里;,社團法人台灣守護有祢生命關懷協會(守護復興崗小站),臺北市北投區奇岩里公館路376巷2弄9號1樓,張旂,0983-108777,,25.1233589,121.5040005
167,臺北市,北投區,建民里;,臺北市北投區建民里辦公處,臺北市北投區建民里文林北路36號,簡妤年,0906-905025,,25.1047321,121.5188032
168,臺北市,北投區,豐年里;,台灣運動健康科學學會,臺北市北投區豐年里大業路527巷33號2樓,王韻嵐,02-28913812,,25.137377,121.4911964
169,臺北市,北投區,開明里;,臺北市北投區開明社區發展協會,臺北市北投區開明里永興路2段8號,常保清,0914-110585,,24.9359566,121.5436511
170,臺北市,北投區,文化里;,臺北市北投區文化里辦公處,臺北市北投區文化里文化三路48號1樓,盧潔明,0928-965501,,25.1385248,121.4980671
171,臺北市,北投區,湖山里;,臺北市北投區湖山里辦公處,臺北市北投區湖山里湖山路1段48-2號,李秋霞,0932-923070,,25.160297,121.535893
172,臺北市,北投區,大屯里;,臺北市北投區大屯里辦公處,臺北市北投區大屯里復興三路521巷18號,張天恩,0985-325333,,25.1597909,121.4996507
173,臺北市,北投區,立農里;,社團法人台灣守護有祢生命關懷協會(守護八禱小站),臺北市北投區立農里吉利街231號1樓,張旂,0983-108777,,25.1190201,121.509483
174,臺北市,北投區,清江里;,臺北市北投區清江社區發展協會,臺北市北投區清江里清江路201號,龍川蓉,02-28922543,107/11/21,25.1275781,121.5019305
175,臺北市,北投區,中庸里;中心里;開明里;長安里;大同里;文化里;,台北市愛肯關懷協會,臺北市北投區中庸里雙全街19巷4號1樓,胡紀淑真,0928-086802,,25.1385428,121.5012016
176,臺北市,北投區,關渡里;,財團法人基督教拿撒勒人會(關渡據點),臺北市北投區關渡里知行路260巷26號,郭得恩,02-28586757,,25.1208389,121.4683428
177,臺北市,北投區,中庸里;,台北市北投青溪協會,臺北市北投區中庸里珠海路2號,王韻嵐,02-28913812,,25.137583,121.501632
178,臺北市,北投區,洲美里;,社團法人中華健康美好生活協會(洲美),臺北市北投區洲美里福美路207號,林佳蓉,0910-302055,,25.1002936,121.5050509
179,臺北市,北投區,中心里;奇岩里;清江里;泉源里;中庸里;,社團法人中華仁親社區關懷協會(470),臺北市北投區中心里大業路721號一樓,邱美惠,02-28803408#2280、0919-319043,,25.1373166,121.5021377
180,臺北市,北投區,稻香里;,社團法人國際奔享體驗教育發展協會(稻香真光),臺北市北投區稻香里稻香路85號1樓,呂艷蕾,02-28288884,,25.1409522,121.4888625
181,臺北市,北投區,溫泉里;,社團法人台灣多元社會福利協會,臺北市北投區溫泉里溫泉路68-10號,陳妍淳,02-28927001,,25.134963,121.504925
182,臺北市,北投區,建民里;,慈濟天母環保教育站,臺北市北投區建民里文林北路79-1號,慈濟台北分會,02-27760111,104/09/09,25.1057391,121.5167966
183,臺北市,北投區,福興里;榮光里;文林里;石牌里;吉慶里;吉利里;,臺北市北投區福興社區發展協會,臺北市北投區福興里自強街5巷22號,張國龍,0955-404968,108/03/01,25.1104864,121.5124209
184,臺北市,北投區,泉源里;,臺北市北投區泉源里辦公處,臺北市北投區泉源里東昇路80號旁,侯筌譯,0928-965556,,25.1554824,121.529373
185,臺北市,北投區,文林里;,臺北市北投區文林里辦公處,臺北市北投區文林里致遠一路1段9號,李珮緁,02-28231156,,25.1075163,121.5176127
186,臺北市,北投區,一德里;,台北市石牌長青會(一德里),臺北市北投區一德里中央北路4段581號,王韻嵐,0958-176176,,25.1261197,121.4671091
187,臺北市,北投區,永和里;,臺北市北投區永和社區發展協會,臺北市北投區永和里行義路138-1號1樓,林慧玲,0910-069290,,25.129609,121.528045
188,臺北市,北投區,吉慶里;,臺北市北投區吉慶社區發展協會,臺北市北投區吉慶里致遠二路61巷2-2號,陳綉絹,02-28282002,094/10/18,25.1149658,121.5114263
189,臺北市,北投區,文化里;桃源里;豐年里;大同里;開明里;長安里;,臺北市北投區硫磺谷社區發展協會,臺北市北投區文化里文化三路3號4樓,洪正鈞,0910-412056,,25.1374035,121.4970927
190,臺北市,北投區,吉慶里;,社團法人國際奔享體驗教育發展協會(新白石),臺北市北投區吉慶里實踐街48巷3號1樓,呂艷蕾,02-28288884,,25.1149642,121.5092088
191,臺北市,北投區,八仙里;,臺北市北投區八仙里辦公處,臺北市北投區八仙里北投路1段臨30號、北投路1段臨20號(西安橋南側室外空地),洪炯銘,02-28985252,,25.1229695,121.5014998
192,臺北市,北投區,立賢里;,臺北市北投區立群社區發展協會,臺北市北投區立賢里尊賢街251巷18號1樓 (里民活動場所),許瑛珍,02-28225613,,25.1177274,121.5055735
193,臺北市,北投區,,慈濟石牌建泰環保教育站,臺北市北投區建民里石牌路一段58巷37號,慈濟關渡至業園區,02-28969977,104/09/09,25.1129412,121.5118563
194,臺北市,南港區,,臺北市南港區百福里辦公處,臺北市南港區百福里福德街337號,李雯馨,02-27838377,,25.0394361,121.5884166
195,臺北市,南港區,聯成里;新光里;合成里;仁福里;成福里;萬福里;,台北市後山埤文化發展協會~東新91健康樂活心聚點,臺北市南港區聯成里東新街91號,李翠華,0938327576,107/07/23,25.0467113,121.5891318
196,臺北市,南港區,,財團法人台北市基督教南港浸信會(臨時會堂),臺北市南港區南港里南港路一段293號,吳明慎、張蕎希,0905-200370,,25.0543767,121.6079902
197,臺北市,南港區,仁福里;,臺北市南港區仁福里辦公處,臺北市南港區仁福里福德街443號1樓,吳肇輝,0919619949,107/08/13,25.0396894,121.592693
198,臺北市,南港區,,社團法人台灣多元社會福利協會(瀞德),臺北市南港區西新里成功路1段82巷11號,曾明慧,0918-124780,,25.0528421,121.5926508
199,臺北市,南港區,合成里;成福里;玉成里;,財團法人以琳基督徒中心,臺北市南港區合成里中坡北路92號2樓,林家秀,02-26511002#14,103/05/13,25.047885,121.580579
200,臺北市,南港區,舊莊里;,慈濟南港舊莊環保教育站,臺北市南港區舊莊里舊莊街一段290巷臨18號,慈濟汐止聯絡處,02-226953366,104/09/09,25.0344192,121.624048
201,臺北市,南港區,中研里;舊莊里;九如里;,臺北市南港區好厝邊社區發展協會,臺北市南港區中研里研究院路2段70巷12號2樓（中研區民活動中心）,張惠美,02-27827592 / 0938129401,,25.0453694,121.6145028
202,臺北市,南港區,舊莊里;九如里;中研里;,財團法人台灣基督傳道會復生教會,臺北市南港區舊莊里南深路21巷18號,李淑君,0227822075,,25.0379276,121.6219253
203,臺北市,南港區,新富里;中南里;南港里;三重里;,臺北市南港區新富里辦公處,臺北市南港區新富里富康街25號,許睦燦,02-27828495,,25.053651,121.61738
204,臺北市,南港區,百福里;三重里;成福里;鴻福里;,台北市樂健發展協會,臺北市南港區百福里福德街337號,羅淑真,0939-378239,,25.0394361,121.5884166
205,臺北市,南港區,重陽里;,財團法人台灣省私立健順養護中心(南港老人服務暨日間照顧中心),臺北市南港區重陽里重陽路187巷5號,謝宜庭,02-2653-5311#14,095/04/21,25.0576659,121.5986598
206,臺北市,南港區,仁福里;,臺北市南港區仁福社區發展協會,臺北市南港區仁福里福德街373巷61號1樓,江芃萱,0972910909,,25.039477,121.5921375
207,臺北市,南港區,九如里;,臺北市南港區久如社區發展協會,臺北市南港區九如里研究院路2段208號1樓,蔡弘睿,02-26516600,103/09/10,25.0367075,121.617081
208,臺北市,南港區,成福里;,臺北市南港區成福里辦公處,臺北市南港區成福里東新街80巷9弄11號,王秋娥,0935-602255,,25.0459878,121.5877315
209,臺北市,南港區,中南里;新富里;三重里;中研里;東新里;南港里;,社團法人中華基督教加倍愛全人關懷協會,臺北市南港區中南里忠孝東路7段625巷16號,張其東,0905-818922,,25.0457681,121.5828226
210,臺北市,南港區,中研里;舊莊里;九如里;中南里;新富里;,臺北市南港區中研新村社區發展協會,臺北市南港區中研里研究院路2段70巷47弄4號1樓,林志隆,0986-028209,107/07/23,25.045799,121.613004
211,臺北市,南港區,萬福里;聯成里;成福里;鴻福里;仁福里;,社團法人中華民國我願意全人關懷協會,臺北市南港區萬福里東新街64巷11、13號B1,黃信元,0920131347,107/10/29,25.0470249,121.5854022
212,臺北市,南港區,舊莊里;中研里;鴻福里;重陽里;,臺北市南港舊莊社區發展協會,臺北市南港區舊莊里舊莊街1段91巷11號(通訊地址：臺北市舊莊街一段145巷6弄39號 ),李麗時,0931-518686,,25.0370335,121.6240441
213,臺北市,南港區,中研里;九如里;舊莊里;百福里;中南里;新富里;,社團法人台灣厝邊有愛關懷協會(中研教會),臺北市南港區中研里研究院路2段11巷5號,白惠芳,02-23635546,,25.0466822,121.6158315
214,臺北市,南港區,玉成里;,社團法人台灣厝邊有愛關懷協會(錫安教會),臺北市南港區玉成里臺北市玉成街20號,白惠芳,02-23635546,107/07/23,25.0503564,121.5806486
215,臺北市,南港區,,臺北市南港區西新里辦公處,臺北市南港區西新里成功路1段99號,胡家瑒,02-26518665,,25.0528421,121.5926508
216,臺北市,南港區,鴻福里;,台北市南港區鴻福社區發展協會,臺北市南港區鴻福里成福路92號1樓,洪瑋君,02-27834848,107/10/23,25.0433328,121.5865825
217,臺北市,南港區,中南里;,財團法人弘道老人福利基金會,臺北市南港區中南里市民大道八段588巷18號,詹尚程,02-23221735    /   0979810136,096/10/30,25.0538015,121.6145084
218,臺北市,南港區,玉成里;,臺北市全人探索協會,臺北市南港區玉成里八德路4段768之1號4樓至6樓,徐麗雯,0918054725,,25.0503038,121.5799601
219,臺北市,士林區,名山里;岩山里;忠誠里;聖山里;德行里;芝山里;,台北市士林區幸福名山社區發展協會,臺北市士林區名山里雨聲街68號,劉秀雲,2836-6501;0932353435,107/10/26,25.1036648,121.5288741
220,臺北市,士林區,東山里;,臺北市士林區東山里辦公處,臺北市士林區東山里士東路320巷2號1樓,陳文賢,0986-666969,,25.113504,121.538604
221,臺北市,士林區,福順里;,臺北市士林區福順里辦公處,臺北市士林區福順里延平北路5段136巷24號,林家卉,0958-830-605,,25.0820854,121.5114478
222,臺北市,士林區,,台北海洋學校財團法人台北海洋科技大學,臺北市士林區富洲里延平北路9段212號,尤欽弘,0955-907688,113/06/03,25.1081747,121.471137
223,臺北市,士林區,德行里;,臺北市士林區德行里辦公處,臺北市士林區德行里德行西路30號1樓,張僡美,0939-931-903,,25.1054699,121.5234851
224,臺北市,士林區,天山里;,財團法人天主教遣使會 (天母天主堂),臺北市士林區天山里中山北路7段134號,穆國欽 黃湘雲,2928-6060#10657 #10264             2876-3236,107/07/23,25.1227884,121.5322519
225,臺北市,士林區,天祿里;,社團法人台灣基督教天母豐盛協會,臺北市士林區天祿里中山北路6段726號7樓,徐啟雄,0911-722063,,25.1150441,121.5279091
226,臺北市,士林區,天母里;,財團法人台北市天母基督教會,臺北市士林區天母里天玉街63號,尹冀,02-28714742,107/07/23,25.1220151,121.5307058
227,臺北市,士林區,百齡里;,劍橋有愛全人關懷協會(原基督教劍橋長老教會),臺北市士林區百齡里福港街244巷3號1樓；福港街244巷4號2樓,陳素娟,02-28820977；0918-090527,096/03/15,25.0842964,121.5172144
228,臺北市,士林區,岩山里;名山里;芝山里;聖山里;,財團法人臺北市華夏婦女文教基金會,臺北市士林區岩山里至誠路1段62巷28號,劉康華,0228318025,107/12/24,25.1010597,121.5372188
229,臺北市,士林區,葫東里;葫蘆里;社子里;福順里;富光里;永倫里;,臺北市士林區葫東里辦公處,臺北市士林區葫東里中正路589號1樓,郭淑玲里長,0933-716-265,,25.0866496,121.5107238
230,臺北市,士林區,福德里;,社團法人台北市士林全人關懷協會,臺北市士林區福德里文林路421巷30號2樓&中正路335巷9號,郭美玲,0953-469-293,107/12/24,25.0942205,121.5232305
231,臺北市,士林區,富光里;,臺北市士林區富光里辦公處,臺北市士林區富光里葫蘆街62號,卓俊甫,28160879,,25.08085,121.5087503
232,臺北市,士林區,蘭興里;,財團法人福智慈善基金會,臺北市士林區蘭興里中山北路六段243號1樓,張梧燁,02-2838-2503 #12,,25.1092337,121.5251501
233,臺北市,士林區,福志里;,社團法人中華悅齡長照關懷協會,臺北市士林區福志里福林路377號(感恩堂),葉肖梅,02-22540191,107/11/09,25.1001582,121.5351803
234,臺北市,士林區,忠誠里;蘭雅里;聖山里;德行里;芝山里;名山里;,臺北市士林區忠義社區發展協會,臺北市士林區忠誠里德行東路104巷9弄8號旁里民活動中心,張富淳,28310943,107/11/09,25.1066967,121.5289939
235,臺北市,士林區,天山里;天和里;天玉里;天母里;,財團法人臺北市松年長春社會福利基金會(士林),臺北市士林區天山里中山北路七段122號3樓,蔡恩惠,02-28723425,,25.1224019,121.5321052
236,臺北市,士林區,社新里;,財團法人台灣基督長老教會三角埔教會,臺北市士林區社新里延平北路六段261巷3號,柯主同,0919890720,,25.0888536,121.503941
237,臺北市,士林區,,台灣運動健康科學學會(舊佳里),臺北市士林區舊佳里中山北路5段773之1號,傅思凱,0958-650650,,25.0994518,121.5268385
238,臺北市,士林區,,臺北市士林區福德里辦公處,臺北市士林區福德里福德路81巷14號,盛琳惠,0970-389017,,,
239,臺北市,士林區,前港里;,財團法人新北市基督教新希望教會(百齡長青),臺北市士林區前港里承德路4段190號4樓,徐牧萱,0970-865-525,107/10/26,25.0872006,121.5222819
240,臺北市,士林區,福中里;,社團法人中華仁親社區關懷協會(福中好厝邊),臺北市士林區福中里福港街151號10樓,簡月貞,0936-321032,,25.087166,121.517745
241,臺北市,士林區,,台灣運動健康科學學會(天福里),臺北市士林區天福里天母東路50巷22之7號,傅思凱,0906-717021,,25.1171524,121.5333617
242,臺北市,士林區,,臺北市體適能指導工作人員職業工會(福林里),臺北市士林區福林里中正路187巷26號,高家偉,0985-985586,,25.0947209,121.5273211
243,臺北市,士林區,天母里;三玉里;天山里;天和里;蘭雅里;,財團法人陽明山基督教天母禮拜堂,臺北市士林區天母里中山北路7段216巷1號1樓,莊璧華,2871-1622#25,,25.1258702,121.5330052
244,臺北市,士林區,名山里;,臺北市士林區芝山岩社區發展協會,臺北市士林區名山里1.雨聲街68號(芝山岩區民活動中心)  2. 雨聲街49號1樓,廖春敏,2834-2158  0911328596,094/10/18,25.1036648,121.5288741
245,臺北市,士林區,翠山里;溪山里;臨溪里;,財團法人台北市中華基督教浸信會慈光堂,臺北市士林區翠山里中社路1段43巷1號,辛守仁,0912-007084,100/03/18,25.1087676,121.5613135
246,臺北市,士林區,,臺北市體適能指導工作人員職業工會(福華里),臺北市士林區福華里通河街179巷2號3樓；和豐街36號1樓,高家偉,0985-985586,,25.0826968,121.5179571
247,臺北市,士林區,,臺北市士林區蘭興里辦公處,臺北市士林區蘭興里福華路180號2樓,林文龍,0935-389389,,25.1058409,121.5220789
248,臺北市,士林區,後港里;,財團法人台灣聖公會牧愛堂,臺北市士林區後港里中正路511號,呂念柔,02-28816317,095/04/28,25.0913588,121.5174651
249,臺北市,士林區,三玉里;,台灣健康社區自主發展協會,臺北市士林區三玉里德行東路203巷2號1樓,陳牡丹,02-28369493或0919-206-511,107/07/23,25.1092589,121.5322353
250,臺北市,士林區,承德里;百齡里;福華里;明勝里;,臺北市士林區承德社區發展,臺北市士林區承德里承德路4段58巷56弄1號1樓,陳洲平,2885-9257,,25.082746,121.5207927
251,臺北市,士林區,葫蘆里;,臺北市士林區葫蘆里辦公處,臺北市士林區葫蘆里葫蘆街137號,許振禮,0958-972-685,,25.0838426,121.5086165
252,臺北市,士林區,義信里;,社團法人中華仁親關懷協會,臺北市士林區義信里基河路128號2樓,林明隆,2880-3408#2280,095/04/28,25.0885079,121.5233244
253,臺北市,士林區,富光里;葫東里;福順里;社子里;,臺北市士林海光社區發展協會,臺北市士林區富光里延平北路5段99號,杜振雲,0937924766,107/10/26,25.0811639,121.5104324
254,臺北市,士林區,社園里;,臺北市三樂樂齡關懷協會,臺北市士林區社園里社中街226號1樓,葉子芸,0937070078,,25.0913621,121.5081024
255,臺北市,士林區,天玉里;天山里;天母里;天和里;,臺北市天母全人關懷協會,臺北市士林區天玉里台北市中山北路7段81巷7號B2,梁淳蓁,02-2874-6222#114,,25.1217666,121.5303175
256,臺北市,士林區,,臺北市士林區天母里辦公處,臺北市士林區天母里中山北路7段191巷23號,李陳菜蓮,02-28735077,,25.125457,121.531086
257,臺北市,士林區,天山里;,臺北市士林區天和社區發展協會,臺北市士林區天山里中山北路7段154巷6號4樓,李玉鶯,0936-889263,096/10/26,25.1234101,121.5330596
258,臺北市,士林區,福佳里;,臺北市士林區福佳社區發展協會,臺北市士林區福佳里美崙街49巷19 號1樓,蕭文宗,0937531725,094/10/18,25.0907401,121.518201
259,臺北市,士林區,仁勇里;,財團法人基督教台灣信義會(士林歌珊堂),臺北市士林區仁勇里大東路76號1樓,平嬡娟,0939-060673,,25.0903719,121.5258603
260,臺北市,大同區,延平里;,臺北市大同區延平里辦公處,臺北市大同區延平里甘州街12號,郭逸斌,0928-823380,,25.0585254,121.5127933
261,臺北市,大同區,保安里;,社團法人中華無齡酷活協會,臺北市大同區保安里重慶北路3段313巷25號2樓,蔡玉美,0914-000083,,25.0742327,121.5149002
262,臺北市,大同區,建泰里;建功里;雙連里;建明里;,財團法人台北市建成基督長老教會,臺北市大同區建泰里承德路1段77巷29號,郭嫈瑛,02-25580685,107/08/15,25.0521949,121.5202958
263,臺北市,大同區,重慶里;,臺北市大同區慶安社區發展協會,臺北市大同區重慶里敦煌路90-92號1樓,林伸龍,02-25965927,094/10/18,25.075818,121.517115
264,臺北市,大同區,隆和里;,社團法人中華視障安養福利協會,臺北市大同區隆和里伊寧街37號1樓,黃籃瑩,02-25952872,107/08/16,25.0647371,121.5122298
265,臺北市,大同區,玉泉里;,臺北市大同區玉泉里辦公處,臺北市大同區玉泉里南京西路434巷5之1號,鄭錦泰,0926-150460,,25.0529645,121.5089968
266,臺北市,大同區,至聖里;,臺北市大同信望愛關懷協會(門諾),臺北市大同區至聖里重慶北路3段223巷43、45、47號,林以夫,0917-899289,,25.0705638,121.5155384
267,臺北市,大同區,永樂里;,社團法人台北市歐伊寇斯OIKOS社區關懷協會,臺北市大同區永樂里延平北路2段60巷2號,包珊熒,02-23414322,107/11/20,25.055393,121.5115213
268,臺北市,大同區,朝陽里;星明里;永樂里;,台北市朝陽服飾材料街區發展協會,臺北市大同區朝陽里重慶北路2段46巷6號,呂國維,02-25523101,107/08/15,25.0552017,121.5138158
269,臺北市,大同區,蓬萊里;揚雅里;至聖里;國順里;,中華萌愛關懷協會,臺北市大同區蓬萊里承德路3段60號B1,盧瑩僡,02-25931138,107/11/20,25.0653101,121.5180203
270,臺北市,大同區,永樂里;,永樂里辦公處,臺北市大同區永樂里南京西路239巷31號,林宗穎,0930-087087,,25.053761,121.509232
271,臺北市,大同區,至聖里;揚雅里;斯文里;國慶里;鄰江里;保安里;,臺北市政府社會局委託天主教耕莘醫療財團法人永和耕莘醫院經營管理臺北市大龍老人住宅,臺北市大同區至聖里民族西路105號4樓及4樓之1,羅啟軒,02-66178186,107/11/20,25.0687846,121.5170522
272,臺北市,大同區,景星里;,景星里辦公處,臺北市大同區景星里伊寧街75巷4號1樓；迪化街1段374號2樓,吳若屏,0981-962269,111/08/30,25.0648933,121.510308
273,臺北市,大同區,民權里;,柴寮仔社區發展協會,臺北市大同區民權里民權西路172號1樓,李芃慧,0932-844756,107/08/15,25.062729,121.5150317
274,臺北市,大同區,國慶里;,臺北市大同區國慶里辦公處,臺北市大同區國慶里民族西路260號1樓,高大陸,0930-858876,,25.0684869,121.5121187
275,臺北市,大同區,隆和里;,臺北市大同區隆和里辦公處,臺北市大同區隆和里景化街46號,沈春華,0922-799261,,25.0650578,121.5125801
276,臺北市,大同區,,財團法人臺北市松年長春社會福利基金會(大同),臺北市大同區光能里承德路二段33-1號1樓,陳玟君,0975-508008,,25.0545556,121.5183804
277,臺北市,大同區,國慶里;,臺北市大同區國慶社區發展協會,臺北市大同區國慶里重慶北路3段136巷18號,黃淑琪,02-25940089,,25.067642,121.5129185
278,臺北市,大同區,建功里;,台北市大同區圓環社區發展協會,臺北市大同區建功里重慶北路1段83巷37號,邱麗秋,02-25564651,107/08/15,25.0495802,121.5136357
279,臺北市,大同區,景星里;,財團法人臺北市松年長春社會福利基金會-大橋教會,臺北市大同區景星里迪化街2段65、67號,黃品熹,02-25974784,107/07/23,25.064832,121.5094468
280,臺北市,大同區,朝陽里;,臺北市大同區真善美社區發展協會,臺北市大同區朝陽里天水路51巷4號及4-1號2樓,許家薰,0939-613118,111/04/21,25.0528382,121.5126772
281,臺北市,大同區,星明里;,臺北市大同區星明社區發展協會,臺北市大同區星明里太原路161巷4號,劉福永,0938-631165,,25.0553249,121.5175357
282,臺北市,大同區,,慈濟大同環保站,臺北市大同區星明里延平北路四段237號,慈濟台北分會,02-27760111,104/09/09,25.07612,121.512106
283,臺北市,大同區,大有里;,台北市大同區大有里辦公處,臺北市大同區大有里民樂街115號1樓,許美智,0931-903250,,25.057481,121.510681
284,臺北市,大安區,永康里;,臺北市大安區永康里辦公處,臺北市大安區永康里金華街199巷3弄6號1樓,謝欣晏,0931-234954,,25.030536,121.528429
285,臺北市,大安區,芳和里;,社團法人中華生命關愛協會,臺北市大安區芳和里和平東路3段212巷12號,周音華,0922-407837,,25.026482,121.533964
286,臺北市,大安區,民炤里;,臺北市大安區民炤里辦公處,臺北市大安區民炤里信義路3段31巷5號1樓,林香睿,02-27008406,,25.0341448,121.5346193
287,臺北市,大安區,誠安里;,臺北市大安區安東社區發展協會,臺北市大安區誠安里安東街31之1號、臺北市忠孝東路3段251巷12弄14號1樓,李有福,02-27715532,107/08/15,25.0441944,121.5426616
288,臺北市,大安區,仁愛里;,社團法人台灣喜樂家族協會(大安),臺北市大安區仁愛里忠孝東路4段126-19號7樓,蕭永信,0955-004491,,25.0414432,121.5441092
289,臺北市,大安區,福住里;,臺北市大安區福住里辦公處,臺北市大安區福住里台北市大安區福住里永康街47巷10之1號1樓,李欣芠,02-23222581,110/08/06,25.0300454,121.5301374
290,臺北市,大安區,,臺北市大安區群賢里辦公處,臺北市大安區群賢里和平東路2段311巷43弄36號,翁鴻源,02-27003623,,25.026419,121.533962
291,臺北市,大安區,,臺北市大安區義村里辦公處,臺北市大安區義村里忠孝東路3段248巷7弄4號1樓,潘明勳,0910380479,,25.0416091,121.5412737
292,臺北市,大安區,仁慈里;,臺北市大安區仁慈里辦公處,臺北市大安區仁慈里復興南路1段295巷18號1樓,陳麒中,02-27061268,,25.0367328,121.5433687
293,臺北市,大安區,新龍里;,臺北市大安區新龍里辦公處,臺北市大安區新龍里信義路3段134巷82號2樓,皮昆宗,02-27067771,,25.0294137,121.5392804
294,臺北市,大安區,法治里;,臺北市大安區法治里辦公處,臺北市大安區法治里臺北市通化街192號,林佩燕,0980403536,,25.0261602,121.5529248
295,臺北市,大安區,龍陣里;新龍里;龍生里;龍圖里;龍淵里;龍雲里;,台北市永健長青促進協會,臺北市大安區龍陣里瑞安街71巷5弄1號1F,沈皜,0932-384519,096/09/06,25.0282259,121.5414779
296,臺北市,大安區,古莊里;古風里;龍泉里;,臺北市大安區古莊社區發展協會,臺北市大安區古莊里6鄰羅斯福路2段81巷16弄1-2號2樓,陳香女,02-23696262,107/10/18,25.0255496,121.5245957
297,臺北市,大安區,仁慈里;,財團法人成長文教基金會,臺北市大安區仁慈里東豐街1號2樓,陳卿雅,02-27000657,,25.0361475,121.5438732
298,臺北市,大安區,錦華里;,臺北市大安區錦華里辦公處,臺北市大安區錦華里羅斯福路2段35巷19弄6號1樓,溫美珠,0937066733,,25.0281794,121.5229273
299,臺北市,大安區,大學里;,中華民國全愛全人關懷協會(台北),臺北市大安區大學里新生南路3段86號4、8、9樓(真理堂),謝昆霖,0911183802,104/11/12,25.0185872,121.5334366
300,臺北市,大安區,錦泰里;,臺北市大安區錦泰里辦公處,臺北市大安區錦泰里杭州南路2段61巷6號1號,范燕淇,02-23918123,,25.0301871,121.5226401
301,臺北市,大安區,住安里;,臺北市大安區住安社區發展協會,臺北市大安區住安里信義路4段30巷27弄24號,鄭可鈺,02-27550387,107/07/23,25.0321507,121.545737
302,臺北市,大安區,錦安里;,臺北市大安區錦町社區發展協會,臺北市大安區錦安里臺北市潮州街130巷3號1樓,龔志慧,02-23515967,107/10/18,25.0285555,121.527565
303,臺北市,大安區,,臺北市大安區臨江里辦公處,臺北市大安區臨江里通化街143巷33號1樓,劉勇雄,0932-029070,,25.0284918,121.5560025
304,臺北市,大安區,通化里;,臺北市大安區通化里辦公處,臺北市大安區通化里通化街19巷19號,紀雅珍,0988-179832,107/08/15,25.0317654,121.5552833
305,臺北市,大安區,,臺北市大安區光信里辦公處,臺北市大安區光信里延吉街236巷17號2樓,楊珮菱,02-27032357,,25.0364046,121.5551056
306,臺北市,大安區,錦安里;,國立臺灣師範大學學務處全人教育中心,臺北市大安區錦安里大安區錦安里和平東路一段129號,賴柏如,02-77495619,107/07/19,25.0274561,121.5285368
307,臺北市,大安區,龍生里;,臺北市大安區龍生里辦公處,臺北市大安區龍生里和平東路2段107巷9號,沈鳳雲,02-23511711#8216,,25.026419,121.533962
308,臺北市,大安區,義安里;,臺北市大安區新義安社區發展協會,臺北市大安區義安里敦化南路2段11巷38弄9號1樓,彭麗美,02-27079691,113/07/01,25.0320902,121.550968
309,臺北市,大安區,,台北市大安區古莊里辦公處,臺北市大安區古莊里浦城街16巷2號/羅斯福路2段81巷16弄1之2號2樓,吳宗雄,0937-834863,,25.02362,121.5266297
