序號,據點名稱,據點地址,據點電話,lat,lon
223,臺北市文山區萬龍社區發展協會,臺北市文山區萬隆里萬隆街27號1樓,,25.0002637,121.5379606
224,臺北市大安區誠安里辦公處,臺北市大安區誠安里安東街28號1樓/安東街31-1號1樓,,25.044269,121.543385
225,臺北市萬華區保德社區發展協會,臺北市萬華區保德里東園街140巷8號、10號,02-23323337,25.0232728,121.4970914
226,財團法人臺北市松年長春社會福利基金會(大同),臺北市大同區光能里承德路二段33-1號1樓,,25.0545556,121.5183804
227,臺北市大安區全安里辦公處,臺北市大安區全安里和平東路3段119巷25號1樓,,25.026482,121.533964
228,臺北市中山區中原里辦公處,臺北市中山區中原里新生北路2段53號2樓,02-25315557,25.0560942,121.5279621
229,臺北市中山區行孝里辦公處,臺北市中山區行孝里民族東路282號4樓,02-25172230,25.0677405,121.5358764
230,財團法人台灣老人急重症基金會(中山據點),臺北市中山區中山里中山北路2段77巷14號3樓,02-25224388,25.05737,121.524349
231,臺北市大安區大學里辦公處,臺北市大安區大學里溫州街74巷2弄4號1樓,,25.0199543,121.5327674
232,臺北市南港區成福里辦公處,臺北市南港區成福里東新街80巷9弄11號,,25.0459878,121.5877315
233,臺北市信義區國業里辦公處,臺北市信義區國業里虎林街222巷15號,,25.0370782,121.5769411
234,臺北市文山區興福里辦公處,臺北市文山區興福里景華街121巷7弄1號,02-29323399,24.996212,121.5467867
235,台北市愛肯關懷協會,臺北市北投區中庸里雙全街19巷4號1樓,02-28962561,25.1385428,121.5012016
236,臺北市北投區清江社區發展協會,臺北市北投區清江里清江路201號,02-28922543,25.1275373,121.5019372
237,臺北市內湖區碧湖社區發展協會(金瑞據點),臺北市內湖區金瑞里金龍路218號(內湖路3段348巷6號),02-87926024,25.0913496,121.5834222
238,臺北市大安區臥龍里辦公處,臺北市大安區臥龍里臺北市大安區臥龍里復興南路2段355號1樓,,25.0231045,121.5435586
239,社團法人台北市光鹽關懷發展協會,臺北市松山區東勢里南京東路4段107號12樓,02-27123242,25.0513931,121.5546859
240,臺北市文山區指南里辦公處,臺北市文山區指南里指南路3段33巷34號1樓,02-22342099,24.9844629,121.5804241
241,臺北市大同區玉泉里辦公處,臺北市大同區玉泉里西寧北路11號,,25.0523116,121.5086659
242,財團法人臺北市松年長春社會福利基金會(中山),臺北市中山區行仁里龍江路318巷7號1樓,02-25000206,25.0648629,121.5404259
243,社團法人中華民國沐光家園癌友關懷協會,臺北市文山區興業里興隆路2段220巷51-1號,0967097027 (02)29305747,24.9996658,121.5520065
244,臺北市萬華日祥關懷協會,臺北市萬華區日祥里青年路186-1號,02-23376359,25.0201451,121.5036802
245,財團法人台北市城東基督長老教會,臺北市大安區建倫里安和路1段43號2樓及45號1樓(城東教會),02-2771-1282,24.9932593,121.5117427
246,台北市士林區幸福名山社區發展協會,臺北市士林區名山里雨聲街68號,02-28366501,25.1036648,121.5288741
247,社團法人台灣德安社會福利協會(大安老人服務暨日間照顧中心),臺北市大安區德安里四維路76巷12號,,25.0342045,121.5473046
248,社團法人中華婦女聯合會,臺北市中正區黎明里館前路6號12樓之2,0907-828668,25.0460588,121.5148618
249,臺北市信義區五常里辦公處,臺北市信義區五常里永吉路187巷6弄6號1樓,,25.046545,121.5730038
250,臺北市北投區大屯里辦公處,臺北市北投區大屯里復興三路521巷18號,0985-325333,25.1597909,121.4996507
251,臺北市信義區富台里辦公處,臺北市信義區富台里忠孝東路5段423巷4弄22號,,25.041298,121.5754116
252,臺北市信義區景聯里辦公處,臺北市信義區景聯里基隆路2段39巷37弄2號,02-27370088,25.0306682,121.5600567
253,社團法人臺北市生命樹健康關懷協會,臺北市中山區永安里北安路458巷41弄50號,02-25327514,25.078944,121.5465875
254,財團法人台灣省私立健順養護中心(中山老人住宅暨服務中心),臺北市中山區中原里新生北路2段101巷2號,02-25420006#100,25.057139,121.528395
255,財團法人以琳基督徒中心,臺北市南港區合成里中坡北路92號2樓,0226511002,25.047885,121.580579
256,社團法人中華社區厝邊頭尾營造協會,臺北市中山區力行里南京東路3段130號3樓,0939-260482,25.052267,121.53607
257,社團法人台灣厝邊有愛關懷協會(中興教會),臺北市中山區江山里復興北路280巷8號,02-23636356,25.0585956,121.5433582
258,臺北市松山區龍田里辦公處,臺北市松山區龍田里光復北路230巷21號B1,0988-179571,25.0560788,121.5544669
259,財團法人台灣基督教恩惠福音會,臺北市內湖區港墘里內湖路1段608號,02-27971000,25.0823089,121.5683655
260,台北市北投區福興社區發展協會,臺北市北投區福興里自強街5巷22號,0916-760968,25.1104864,121.5124209
261,社團法人台灣愛喜樂關懷協會,臺北市北投區裕民里明德路161號1樓,02-28224466,25.1115653,121.5209719
262,臺北市北投區桃源里辦公處,臺北市北投區桃源里中央北路3段40巷7號,0928-965521,25.1386786,121.4858238
263,台北市文山區景慶社區發展協會,臺北市文山區景慶里景福街126號， 羅斯福路6段393號6.8樓,29322483,24.9958088,121.5359126
264,社團法人台北市家庭照顧者關懷協會,臺北市中山區北安里北安路805巷4弄5號地下,0916-780645,25.0862564,121.5543684
265,財團法人台灣省私立健順養護中心(南港老人服務暨日間照顧中心),臺北市南港區重陽里重陽路187巷5號,02-2653-5311#14,25.0576659,121.5986598
266,臺北市內湖區大湖里辦公處,臺北市內湖區大湖里大湖山莊街117號4樓,0939-020275,25.0860641,121.6017634
267,臺北市南港區仁福社區發展協會,臺北市南港區仁福里福德街373巷61號1樓,0972910909,25.039477,121.5921375
268,臺北市南港區中研新村社區發展協會,臺北市南港區中研里研究院路2段70巷47弄4號1樓,0986-028209,25.045799,121.613004
269,臺北市南港區好厝邊社區發展協會,臺北市南港區中研里研究院路2段70巷12號2樓（中研區民活動中心）,0227827592.0938129401,25.0453694,121.6145028
270,臺北市萬華區忠德里辦公處,臺北市萬華區忠德里東園街66巷24弄1號1樓,,25.0249875,121.4954841
271,臺北市北投區新大同社區發展協會,臺北市北投區大同里育仁路57號,0922-495528,25.1336597,121.4980855
272,臺北市北投區大同里辦公處,臺北市北投區大同里大同街135號,0928-965371,25.135,121.498575
273,臺北市北投區開明社區發展協會,臺北市北投區開明里永興路2段8號,,25.1386336,121.4993972
274,台北市文山區樟林社區發展協會,臺北市文山區樟文里木新路3段310巷4號2樓之1,02-29369071,24.9814755,121.5572217
275,財團法人天主教中華道明會,臺北市中山區新福里吉林路378號,02-25942294分機4071,25.0645903,121.5298819
276,台灣迦美福音傳播協會,臺北市文山區景華里三福街74巷2號1樓,02-29348952，0939910698,24.9976063,121.5443476
277,臺北市大同區柴寮仔社區發展協會,臺北市大同區民權里民權西路172號1樓,0932-844756,25.062729,121.5150317
278,臺北市文山區華興里辦公處,臺北市文山區華興里木柵路1段264號,29361780,24.998248,121.579916
279,臺北市中正區永寬社區發展協會,臺北市中正區永昌里寧波西街181巷8號,0935-272021,25.026624,121.510441
280,財團法人新北市基督教新希望教會(新喜),臺北市中山區新喜里吉林路433巷17號,02-25993693,25.0670215,121.5313213
281,社團法人中華無齡酷活協會,臺北市大同區保安里重慶北路3段313巷25號2樓,,25.0741194,121.5148865
282,臺北市中正區南門里辦公處,臺北市中正區南門里博愛路163號(小南門區民活動中心),0928-490157,25.0348513,121.5110126
283,財團法人福智慈善基金會(內湖據點),臺北市內湖區內湖里內湖路2段484號4樓及482號、484號、486號、488號3樓,02-27963275,25.0843369,121.5933807
284,臺北市大安區仁愛里辦公處,臺北市大安區仁愛里復興南路1段191-1號,,25.0393239,121.5439659
285,台北市南港區鴻福社區發展協會,臺北市南港區鴻福里成福路92號1樓,02-27834848,25.0433328,121.5865825
286,臺北市中正區新營共好社區發展協會,臺北市中正區新營里金華街20號,02-23567317,25.0316513,121.5204356
287,台北市寶藏巖文化村協會,臺北市中正區水源里汀州路3段230巷14弄10號／羅斯福路4段92號4樓,(02)23640015,25.0105603,121.5348865
288,社團法人臺北市基督教合江拿撒勒人會,臺北市中山區江寧里合江街127巷6號,02-25030209,25.0606278,121.539633
289,臺北市大同區景星里辦公處,臺北市大同區景星里伊寧街75巷4號1樓；迪化街1段374號2樓,,25.0648933,121.510308
290,台北市紅十字會,臺北市信義區中興里信義路四段415號5樓之3,02-2758-3009,25.0333496,121.5593845
291,臺北市大同區慶安社區發展協會,臺北市大同區重慶里敦煌路90-92號1樓,02-25965927,25.075818,121.517115
292,臺北市信義區惠安里辦公處,臺北市信義區惠安里臺北市吳興街506巷21號,02-27588650,25.0230002,121.5685041
293,天主教耕莘醫療財團法人永和耕莘醫院(大龍老人住宅),臺北市大同區至聖里民族西路105號4樓及4樓之1,02-66178186,25.0687846,121.5170522
294,社團法人台灣厝邊有愛關懷協會(永吉教會),臺北市信義區廣居里臺北市虎林街155、157、159號,02-27238578,25.0394434,121.5768521
295,財團法人臺北市松年長春社會福利基金會(大橋),臺北市大同區景星里大同區景星里迪化街2段65號,02-25974784,25.064832,121.5094468
296,財團法人台灣聖公會(牧愛堂),臺北市士林區後港里中正路497、511號,02-28816317,25.091956,121.5183435
297,財團法人雙福社會福利慈善事業基金會 (信義社區照顧關懷據點),臺北市信義區正和里杭州南路2段15號5樓,02-27299580,25.0341836,121.5237567
298,臺北市北投區我愛石牌社區發展協會,臺北市北投區石牌里建民路116巷13號,02-28201369,25.109843,121.517891
299,臺北市信義區西村里辦公處,臺北市信義區西村里台北市基隆路一段364巷22號,02-27586396,25.0348235,121.5595015
300,社團法人台灣多元社會福利協會(瀞德),臺北市南港區西新里成功路1段82巷11號,,24.9921735,121.5260474
301,臺北市萬華區錦德里辦公處,臺北市萬華區錦德里寶興街80巷18號,,25.0257504,121.4939029
302,臺北市中正區新營共好社區發展協會,臺北市中正區新營里金華街20號,02-23567317,25.0316513,121.5204356
303,臺北市北投區建民社區發展協會,臺北市北投區建民里福國路-福國社宅,,25.1021905,121.5137948
304,臺北市信義區四維里辦公處,臺北市信義區四維里虎林街70巷1號1樓,,25.0441982,121.5768646
305,臺北市大安區大學里辦公處,臺北市大安區大學里溫州街74巷2弄4號1樓,,25.0199543,121.5327674
306,臺北市大安區古風里辦公處,臺北市大安區古風里辛亥路1段141號1樓,02-33651622,25.0006751,121.5546272
307,臺北市大同區隆和里辦公處,臺北市大同區隆和里景化街46號,,25.0650578,121.5125801
308,臺北市信義區景聯里辦公處,臺北市信義區景聯里基隆路2段39巷37弄2號,02-27370088,25.0306682,121.5600567
309,財團法人台北市中華基督教信義會(復興堂),臺北市信義區中興里信義路4段375號10樓之2,02-2720-0440,25.033297,121.5577964
310,臺北市信義區泰和社區發展協會,臺北市信義區泰和里松仁路308巷60號1樓、松仁路308巷61號,02-87862076,25.0212392,121.5699532
311,臺北市信義區老人服務中心(中華民國紅心字會),臺北市信義區興雅里松隆路36號4.5樓,02-87870300#107,25.0433306,121.5675285
312,臺北市內湖區湖興里辦公處,臺北市內湖區湖興里成功路二段320巷19號3樓,02-27914586,25.0676901,121.5899871
313,財團法人台灣省私立健順養護中心(松山老人服務暨日間照顧中心),臺北市松山區三民里民生東路5段163-1號2樓,02-27685636,25.059321,121.562048
314,臺北市中正區文祥社區發展協會,臺北市中正區文祥里杭州南路1段131巷22號,0919-319818,25.0360731,121.524089
315,臺北市萬華區萬壽里辦公處,臺北市萬華區萬壽里康定路19號,2381-7481,25.0453226,121.5032535
316,財團法人天主教聖母聖心會,臺北市萬華區雙園里中山北路1段2號10樓之2,02-2302-8934,25.0526041,121.5226127
317,社團法人台灣多元社會福利協會(溫馨園),臺北市北投區溫泉里溫泉路68-10號,02-28927001,25.134963,121.504925
318,臺北市南港區新富里辦公處,臺北市南港區新富里富康街25號,02-27828495,25.053651,121.61738
319,社團法人台灣厝邊有愛關懷協會（錫安教會）,臺北市南港區玉成里玉成街20號,23635546,25.0496413,121.5818645
320,社團法人中華萌愛關懷協會,臺北市大同區揚雅里承德路60號B1,02-25931138,25.04424,121.538495
321,台北市劍橋有愛全人關懷協會,臺北市士林區百齡里福港街244巷3號,02-28812424,25.0842964,121.5172144
322,財團法人臺北市松年長春社會福利基金會(中正),臺北市中正區南福里羅斯福路1段94、96號11樓(中央教會),02-23948486,25.0242325,121.5246427
323,財團法人佳醫健康基金會,臺北市文山區景美里台北市文山區羅斯福路六段336號(滬江高中信義樓101教室),,24.9894519,121.5389166
324,臺北市大同區永樂里辦公處,臺北市大同區永樂里南京西路239巷31號,,25.053761,121.509232
325,臺北市大同區景星里辦公處,臺北市大同區景星里伊寧街75巷4號1樓；迪化街1段374號2樓,,25.0648933,121.510308
326,臺北市大同區圓環社區發展協會,臺北市大同區建功里重慶北路1段83巷37號,02-25564651,25.0495802,121.5136357
327,財團法人天主教遣使會-聖文生之友社區關懷據點,臺北市士林區天山里中山北路7段134號,02-28763236,25.1227884,121.5322519
328,財團法人台灣聖公會(牧愛堂),臺北市士林區後港里中正路497、511號,02-28816317,25.091956,121.5183435
329,財團法人伊甸社會福利基金會,臺北市松山區復勢里八德路三段155巷4弄35號1樓,藝術:透過不同類型課程，單純接納和創作自己的作品。 音樂與志願服務:歌唱的學習與練習，享受合聲的美妙與唱歌的樂趣，並藉由志願服務的演出，享受助人的幸福感。 運動:學習隨時隨地可以做的伸展運動，紓發壓力及提升身體活動量。,25.0489529,121.5557307
330,財團法人臺北市松年長春社會福利基金會(大橋),臺北市大同區景星里大同區景星里迪化街2段65號,02-25974784,25.064832,121.5094468
331,財團法人福智慈善基金會(東湖據點),臺北市內湖區五分里東湖路106巷2號、6號、8號,02-77516788,25.068302,121.6154551
332,財團法人福智慈善基金會(內湖據點),臺北市內湖區內湖里內湖路2段484號4樓及482號、484號、486號、488號3樓,02-27963275,25.0843369,121.5933807
333,臺北市松山區龍田里辦公處,臺北市松山區龍田里光復北路230巷21號B1,0988-179571,25.0560788,121.5544669
334,臺北市大同區柴寮仔社區發展協會,臺北市大同區民權里民權西路172號1樓,0932-844756,25.062729,121.5150317
335,財團法人臺北市松年長春社會福利基金會（松山）,臺北市松山區慈祐里饒河街105號,02-25000261,25.0506047,121.573946
336,財團法人福智慈善基金會（安和據點）,臺北市大安區光信里信義路4段265巷21弄3號1樓/1號1樓,02-77526788,25.0344478,121.5546889
337,臺北市松山區新聚里辦公處,臺北市松山區新聚里南京東路5段374號,,25.0515465,121.5696021
338,財團法人環宇國際文化教育基金會,臺北市中正區文盛里羅斯福路3段240巷17弄3號,02-2366-0743,25.0176349,121.5290591
339,臺北市中山區朱厝崙社區發展協會,臺北市中山區朱崙里龍江路15號3樓(朱崙區民活動中心),02-27815504,25.0475413,121.5405446
340,財團法人福智慈善基金會(天母),臺北市士林區蘭興里中山北路六段243號1F,02-2838-2503 #12,25.1092337,121.5251501
341,社團法人臺北市中山區大直社區發展協會,臺北市中山區大直里大直街1號4樓(大直第二區民活動中心),02-25329522,25.0805188,121.5468794
342,臺北市中山區晴光里辦公處,臺北市中山區晴光里中山區晴光里雙城街18巷20號,0981-201026,25.0653711,121.5230588
343,社團法人臺北市中山區大直社區發展協會(大直一),臺北市中山區大直里大直路21巷1號4樓(大直第一區民活動中心)及臺北市大直街39巷3號1,02-25329522,25.082582,121.546735
344,臺北市萬華區新忠里辦公處,臺北市萬華區新忠里西藏路125巷7號1樓 (里民活動場所),(02)2339-2806,25.0287637,121.5023125
345,臺北市天母全人關懷協會,臺北市士林區天玉里台北市中山北路7段81巷7號B2,02-2874-6222#114,25.1217666,121.5303175
346,財團法人基督教台灣信義會(內湖思恩堂),臺北市內湖區紫星里康寧路1段62號,02-27901497,25.080129,121.592353
347,台北市紅十字會,臺北市信義區中興里信義路四段415號5樓之3,02-2758-3009,25.0333496,121.5593845
348,臺北市萬華區菜園社區發展協會,臺北市萬華區菜園里內江街150號2樓,,25.0416733,121.5014942
349,臺北市大同區真善美社區發展協會,臺北市大同區朝陽里天水路51巷4號及4-1號2樓,,25.0528382,121.5126772
350,臺北市萬華區糖廍里辦公處,臺北市萬華區糖廍里臺北市萬華區糖廍里大理街106號,,25.034233,121.4978362
351,臺北市向榮社福協進會,臺北市文山區興業里興隆路2段160號10樓,0931-041002,25.0015727,121.5514273
352,社團法人台灣厝邊有愛關懷協會(六張犁),臺北市大安區黎元里臺北市臥龍街215號,02-2363-6356,25.0185119,121.5535662
353,臺北市信義區興雅祥社區發展協會,臺北市信義區雅祥里基隆路1段35巷9弄2號1樓,0933-162191,25.0419415,121.5653136
354,臺北市中正區永功里辦公處,臺北市中正區永功里詔安街114號,,25.0256991,121.5109546
355,社團法人國際奔享體驗教育發展協會(新白石),臺北市北投區吉慶里實踐街48巷3號1樓,02-28288884,25.1149642,121.5092088
356,台灣運動健康科學學會,臺北市北投區豐年里大業路527巷33號2樓,02-28913812,25.137377,121.4911964
357,社團法人社區大學全國促進會,臺北市內湖區石潭里新明路22號純美樓3樓,6695-0919,25.0606501,121.5904736
358,社團法人台灣厝邊有愛關懷協會(永吉教會),臺北市信義區廣居里臺北市虎林街155、157、159號,02-27238578,25.0394434,121.5768521
359,臺北市南港區仁福里辦公處,臺北市南港區仁福里福德街443號1樓,0919619949,25.0396894,121.592693
360,社團法人台北市文山區明興社區發展協會,臺北市文山區明興里木柵路2段109巷25弄6號;興隆路4段61號；秀明路1段19巷1號,02-22340391,24.9898178,121.5627047
361,社團法人台灣喜樂家族協會(大安),臺北市大安區仁愛里忠孝東路4段126-19號7樓,0955-004491,25.0414432,121.5441092
362,臺北市中山區新福里辦公處,臺北市中山區新庄里新生北路三段105號,0910-195039,25.0694619,121.5305774
363,臺北市文山區指南里辦公處,臺北市文山區指南里指南路3段33巷34號1樓,02-22342099,24.9844629,121.5804241
364,臺北市大同區延平里辦公處,臺北市大同區延平里甘州街12號,,25.0585254,121.5127933
365,中華樂活推廣協會,臺北市松山區富錦里三民路136巷3號,0937-073980,25.0606379,121.563667
366,財團法人台灣老人急重症基金會(龍洲據點),臺北市中山區龍洲里民生東路3段88巷1號,02-25224388,25.0576316,121.54193
367,社團法人國際奔享體驗教育發展協會(稻香真光),臺北市北投區稻香里稻香路85號1樓,02-28288884,25.1408925,121.4887848
368,臺北市北投區新大同社區發展協會,臺北市北投區大同里育仁路57號,0922-495528,25.1336597,121.4980855
369,台北市愛肯關懷協會,臺北市北投區中庸里雙全街19巷4號1樓,02-28962561,25.1385428,121.5012016
370,臺北市萬華區孝德里辦公處,臺北市萬華區孝德里德昌街261巷16號1樓,,25.022452,121.492269
371,臺北市北投區吉利里辦公處,臺北市北投區吉利里石牌路1段39巷100號1樓及5樓(臺北市北投運動中心),,25.1165006,121.5098316
372,社團法人台灣厝邊有愛關懷協會(台北和平),臺北市大安區龍安里臺北市和平東路1段183巷9號,02-23636356,25.0265933,121.5322277
373,社團法人中華民國香柏樹長者社區關懷協會(內湖老人服務中心),臺北市內湖區東湖里康樂街110巷16弄20號5.6樓,02-26325560,25.0703735,121.6183879
374,臺北市大同區星明社區發展協會,臺北市大同區星明里太原路161巷4號,,25.0553249,121.5175357
375,財團法人台灣省私立健順養護中心(中山老人住宅暨服務中心),臺北市中山區中原里新生北路2段101巷2號,02-25420006#100,25.057139,121.528395
376,財團法人台灣省私立健順養護中心(南港老人服務暨日間照顧中心),臺北市南港區重陽里重陽路187巷5號,02-2653-5311#14,25.0576659,121.5986598
377,臺北市信義區永春社區發展協會,臺北市信義區永春里松山路287巷3弄21號,0966-728305,25.0435193,121.57823
378,臺北市內湖區週美里辦公處,臺北市內湖區週美里南京東路6段330巷18弄12號1樓,2793-8003,25.0610146,121.5871576
379,台灣美滿家庭社區服務協會,臺北市文山區萬興里指南路2段11號,02-29390544,24.9884429,121.5734331
380,財團法人台北市中山基督長老教會,臺北市中山區正得里臺北市中山區正得里中山北路1段53巷23號,02-25518480#119,25.052504,121.5228604
381,社團法人台灣厝邊有愛關懷協會(中研教會),臺北市南港區中研里研究院路2段11巷5號,02-23636356,25.0466822,121.6158315
382,臺北市信義區中行里辦公處,臺北市信義區中行里福德街268巷32號、大仁里大道路116號8樓,0227274777,25.039887,121.5857963
383,臺北市大同信望愛關懷協會(門諾),臺北市大同區至聖里重慶北路3段223巷43、45、47號,02-25948855,25.0705638,121.5155384
384,社團法人台灣守護有祢生命關懷協會(守護八禱小站),臺北市北投區立農里吉利街231號1樓,0983-108777,25.1190201,121.509483
385,社團法人台灣愛鄰社區服務協會,臺北市大安區龍門里和平東路2段24號愛鄰樓1F、愛鄰樓3F,23623022,25.0264703,121.5335436
386,臺北市體育總會瑜珈協會,臺北市萬華區福星里西寧南路6-1號,,25.0471115,121.5064881
387,臺北市士林區蘭興里辦公處,臺北市士林區蘭興里福華路180號2樓,,25.1058409,121.5220789
388,臺北市信義區嘉興里辦公處,臺北市信義區嘉興里嘉興街175巷6號,02-27324052,25.02764,121.5575501
389,臺北市大安區新龍里辦公處,臺北市大安區新龍里信義路3段134巷82號2樓,,25.0294137,121.5392804
390,臺北市大安區仁慈里辦公處,臺北市大安區仁慈里復興南路1段295巷18號1樓,,25.0367328,121.5433687
391,臺北市中山區行孝里辦公處,臺北市中山區行孝里民族東路282號4樓,02-25172230,25.0677405,121.5358764
392,臺北市中山區中原里辦公處,臺北市中山區中原里新生北路2段53號2樓,02-25315557,25.0560942,121.5279621
393,臺北市南港區成福里辦公處,臺北市南港區成福里東新街80巷9弄11號,,25.0459878,121.5877315
394,台北市石牌長青會(一德里),臺北市北投區一德里中央北路4段581號,0958-176176,25.1261579,121.4665066
395,台北市石牌長青會(永明里),臺北市北投區永明里義理街65號1樓,0958-176176,25.1174104,121.5156847
396,臺北市文山區忠順社區發展協會,臺北市文山區忠順里興隆路4段145巷30號,02-29399569,24.985098,121.5629575
397,臺北市大安區群賢里辦公處,臺北市大安區群賢里和平東路2段311巷43弄36號,,25.026419,121.533962
398,臺北市萬華日祥關懷協會,臺北市萬華區日祥里青年路186-1號,02-23376359,25.0201451,121.5036802
399,財團法人弘道老人福利基金會(松山),臺北市松山區民福里復興北路451號1樓,02-66131314,25.0639844,121.544483
400,社團法人臺北市生命樹健康關懷協會,臺北市中山區永安里北安路458巷41弄50號,02-25327514,25.078944,121.5465875
401,財團法人台灣老人急重症基金會(中山據點),臺北市中山區中山里中山北路2段77巷14號3樓,02-25224388,25.05737,121.524349
402,財團法人臺北市松年長春社會福利基金會(大同),臺北市大同區光能里承德路二段33-1號1樓,,25.0545556,121.5183804
403,臺北市北投區尊賢社區發展協會,臺北市北投區尊賢里尊賢街302巷19號1樓,02-28270945,25.1181539,121.507691
404,社團法人台灣多元社會福利協會(瀞德),臺北市南港區西新里成功路1段82巷11號,,24.9921735,121.5260474
405,臺北市文山區萬盛里辦公處,臺北市文山區萬盛里興隆路1段15號3樓,0972-246012,25.0032637,121.5407835
406,臺北市文山區興福里辦公處,臺北市文山區興福里景華街121巷7弄1號,02-29323399,24.996212,121.5467867
407,台北市大安區龍陣里辦公處,臺北市大安區龍陣里瑞安街75號3樓(瑞安區民活動中心),,25.0280185,121.5411633
408,台灣運動健康科學學會(舊佳里),臺北市士林區舊佳里中山北路5段773之1號,,25.0994518,121.5268385
409,臺北市體適能指導工作人員職業工會(福華里),臺北市士林區福華里通河街179巷2號3樓；和豐街36號1樓,,25.0826968,121.5179571
410,臺北市體適能指導工作人員職業工會(福林里),臺北市士林區福林里中正路187巷26號,,25.0947209,121.5273211
411,臺北市士林區天母里辦公處,臺北市士林區天母里中山北路7段191巷23號,,25.125457,121.531086
412,臺北市大安區臨江里辦公處,臺北市大安區臨江里通化街143巷33號1樓,,25.0284918,121.5560025
413,臺北市萬華區新安里辦公處,臺北市萬華區新安里萬大路187巷8號1樓,,25.0279204,121.5008438
414,臺北市大安區光信里辦公處,臺北市大安區光信里延吉街236巷17號2樓,,25.0364046,121.5551056
415,臺北市中正區三愛里辦公處,臺北市中正區三愛里連雲街26巷9號,,25.0367399,121.5312848
416,臺北市大安區敦煌里辦公處,臺北市大安區敦煌里信義路4段265巷21弄22號1樓,,25.0337041,121.5557001
417,臺北市北投區文化里辦公處,臺北市北投區文化里文化三路48號1樓,0928-965501,25.1385248,121.4980671
418,臺北市大同區國慶里辦公處,臺北市大同區國慶里民族西路260號1樓,,25.0684869,121.5121187
419,財團法人台北市基督教美仁浸信會,臺北市松山區復源里八德路3段106巷106號,,25.0450315,121.5541707
420,臺北市大安區誠安里辦公處,臺北市大安區誠安里安東街28號1樓/安東街31-1號1樓,,25.044269,121.543385
421,臺北市松山區復盛里辦公處,臺北市松山區復盛里市民大道5段99-2號、99-4號,,25.0477764,121.5613993
422,臺北市信義區六合里辦公處,臺北市信義區六合里松仁路240巷19號3樓,,25.024319,121.5688427
423,臺北市北投區豐年里辦公處,臺北市北投區豐年里中央北路2段95巷1弄1號1樓,0928-965509,25.1365896,121.4952043
424,臺北市文山區興邦里辦公處,臺北市文山區興邦里興隆路2段203巷2弄10號1樓,0975-586972,25.0013345,121.5498781
425,財團法人基督教台灣信義會(士林歌珊堂),臺北市士林區仁勇里大東路76號1樓,,25.0903719,121.5258603
426,臺北市大安區龍坡里辦公處,臺北市大安區龍坡里辛亥路1段臨141號,,25.0006751,121.5546272
427,臺北市萬華區銘德里辦公處,臺北市萬華區銘德里長泰街219號1樓,,25.0215669,121.4952062
428,臺北市信義區黎順里辦公處,臺北市信義區黎順里崇德街15號,,25.0244485,121.5535299
429,臺北市南港區百福里辦公處,臺北市南港區百福里福德街337號,,25.0394361,121.5884166
430,臺北市中山區埤頭里辦公處,臺北市中山區埤頭里安東街5之2號,0913-011212,25.0461133,121.5421096
431,臺北市文山區興業里辦公處,臺北市文山區興業里興隆路2段160號10樓,,25.0015727,121.5514273
432,臺北市萬華區忠貞里辦公處,臺北市萬華區忠貞里青年路58號,,25.0246184,121.5028021
433,台北市北投青溪協會(建民里),臺北市北投區建民里文林北路80巷38弄2號1樓,0982-642689,25.1057028,121.518841
434,臺北市大安區龍圖里辦公處,臺北市大安區龍圖里瑞安街176號,,25.0288116,121.5413045
435,臺北市北投區泉源里辦公處,臺北市北投區泉源里東昇路80號旁,0928-965556,25.1554824,121.529373
436,臺北市大安區義村里辦公處,臺北市大安區義村里忠孝東路3段248巷7弄4號1樓,,25.0416091,121.5412737
437,臺北市內湖區港富里辦公處,臺北市內湖區港富里麗山街47號,0932-018-939,25.0808877,121.5806316
438,臺北市大安區臥龍里辦公處,臺北市大安區臥龍里臺北市大安區臥龍里復興南路2段355號1樓,,25.0231045,121.5435586
439,臺北市內湖區湖濱里辦公處,臺北市內湖區湖濱里內湖路2段346號1樓,02-27906289,25.0818588,121.5899931
440,臺北市大安區民輝里辦公處,臺北市大安區民輝里濟南路3段9號3樓,,25.0403155,121.5337239
441,臺北市士林區福德里辦公處,臺北市士林區福德里福德路81巷14號,,25.0923428,121.5213199
442,臺北市北投區桃源里辦公處,臺北市北投區桃源里中央北路3段40巷7號,0928-965521,25.1386786,121.4858238
443,臺北市萬華區綠堤里辦公處,臺北市萬華區綠堤里雙園街91號,,25.0316079,121.4922044
444,臺北市萬華區仁德里辦公處,臺北市萬華區仁德里西寧南路192之2號1樓,,25.0389662,121.5061844
445,臺北市大安區車層里辦公處,臺北市大安區車層里忠孝東路4段218之3號5樓,,25.041223,121.54727
446,臺北市北投區八仙里辦公處,臺北市北投區八仙里北投路1段臨30號、北投路1段臨20號(西安橋南側室外空地),02-28912105#234,25.1212488,121.5025229
447,臺北市北投區大同里辦公處,臺北市北投區大同里大同街135號,0928-965371,25.135,121.498575
448,臺北市文山區興得里辦公處,臺北市文山區興得里興隆路3段222號,,24.9970954,121.5592325
449,臺北市內湖區清白里辦公處,臺北市內湖區清白里星雲街161巷3號1樓,27919637,25.0811515,121.596101
450,財團法人天主教單國璽弱勢族群社福基金會,臺北市萬華區日善里西藏路201號,,25.028188,121.4988142
451,台灣運動健康科學學會(天福里),臺北市士林區天福里天母東路50巷22之7號,,25.1171524,121.5333617
