WKT,醫療院所,縣市,鄉鎮市區,地址,電話
"POINT (121.54513031716 25.0534066762678)",柏林牙醫診所,臺北市,松山區,慶城街21之2號2樓,"27131115"
"POINT (121.564541786299 25.0515967094983)",茶米中醫診所,臺北市,松山區,南京東路五段225號3樓,"27480593"
"POINT (121.568194993719 25.0551488070379)",原邑診所,臺北市,松山區,健康路325巷6弄21號,"27472985"
"POINT (121.556960383968 25.0517583858891)",薏安牙醫診所,臺北市,松山區,南京東路四段197號2樓之2、2樓之3,"27121882"
"POINT (121.554990189272 25.0581124922812)",漢浤堂健康中醫診所,臺北市,松山區,民生東路四段128號,"25185775"
"POINT (121.564374571394 25.0505357921424)",喜樂芽牙醫診所,臺北市,松山區,八德路四段245巷33號,02-85092410
"POINT (121.562664690001 25.0512224062743)",南京光澤診所,臺北市,松山區,南京東路五段154號2樓、156號2樓,"27495589"
"POINT (121.559680272151 25.0564306810509)",誼欣牙醫診所,臺北市,松山區,延壽街338號,"27619488"
"POINT (121.563836505675 25.0565025754241)",李政洋身心診所,臺北市,松山區,三民路84號,"27620086"
"POINT (121.567867456127 25.0594808763828)",東青中醫診所,臺北市,松山區,民生東路五段245號、245之1號,"87870781"
"POINT (121.552104898003 25.0535136899676)",澄品牙醫診所,臺北市,松山區,敦化北路145巷73號,2718-5657
"POINT (121.564957560309 25.0506710458943)",魔法兔齒顎矯正牙醫診所,臺北市,松山區,東興路2巷5號,(02)27660655
"POINT (121.544240573508 25.0510459742125)",欣悅超美診所,臺北市,松山區,復興北路73號3樓,"27711551"
"POINT (121.576321299513 25.0498690362909)",新尊榮牙醫診所,臺北市,松山區,八德路四段674號,02-27686006
"POINT (121.563523799982 25.0558006852863)",澄東耳鼻喉科診所,臺北市,松山區,三民路37號,"27420552"
"POINT (120.483899940262 22.8835962796624)",鍾牙醫診所,高雄市,旗山區,大同街11號,
"POINT (120.48199509155 22.8900966378123)",微笑牙醫診所,高雄市,旗山區,中山路187號1樓,"076626866"
"POINT (120.482464554085 22.8881844643163)",正元牙醫診所,高雄市,旗山區,華中街28號,"6629698"
"POINT (120.483074050068 22.8885448538137)",許銘誠診所,高雄市,旗山區,延平一路542號1樓,07-6611166
"POINT (120.483074050068 22.8885448538137)",許銘誠診所,高雄市,旗山區,延平一路542號1樓,07-6611166
"POINT (120.495562206232 22.9191672579741)",順安診所,高雄市,旗山區,旗甲路二段181號1樓,07-6693663
"POINT (120.483706221237 22.8826636825926)",旗美眼科診所,高雄市,旗山區,延平一路743號1~2樓,661-1111
"POINT (120.483168915181 22.8949528710633)",信安小兒科診所,高雄市,旗山區,延平一路228之8號1樓,662-7007
"POINT (120.482513020001 22.8832287236263)",芳民診所,高雄市,旗山區,德昌路16號1~2樓,662-2355
"POINT (120.493271061922 22.8820214149071)",鄭耳鼻喉科診所,高雄市,旗山區,延平二路43號1樓,"6627165"
"POINT (120.482544261488 22.8847934236519)",民愛診所,高雄市,旗山區,復新街13號、15號,"076617221"
"POINT (120.483670974051 22.8976433179152)",仁厚診所,高雄市,旗山區,延平一路137號,"076613515"
"POINT (120.482996821214 22.8876947414014)",周大雅診所,高雄市,旗山區,延平一路562號,"6625132"
"POINT (120.483821907095 22.8835999637265)",陳眼科診所,高雄市,旗山區,大同街7號,661-8866
"POINT (120.4837160619 22.8949266723391)",林博仁診所,高雄市,旗山區,延平一路229號,07 6621000
"POINT (120.482859189282 22.8821092772614)",李本源診所,高雄市,旗山區,東新街40號1樓,07 662-1826
"POINT (120.482946455397 22.8852542726022)",欣明精神科診所,高雄市,旗山區,延平一路660號1樓,662-7802
"POINT (120.483977924695 22.8835925954019)",大元診所,高雄市,旗山區,大同街13-1號,07-6612100
"POINT (120.482131068938 22.885202916993)",翰廷牙醫診所,高雄市,旗山區,中山路14號1樓,07-6614026
"POINT (120.483176217819 22.8953872123974)",欣新牙醫診所,高雄市,旗山區,延平一路224號,5819606  662-9339
"POINT (120.483215921766 22.8838493264336)",楊皮膚科診所,高雄市,旗山區,延平一路679號,07 6625322
"POINT (120.483276606721 22.8806936495599)",衛生福利部旗山醫院,高雄市,旗山區,中學路60號,07-6613811
"POINT (120.484094696601 22.8835870863361)",仁耀皮膚科診所,高雄市,旗山區,大同街17-1號1樓,
"POINT (120.483449373381 22.8825465161241)",松本牙醫診所,高雄市,旗山區,延平一路732號1-2樓,
"POINT (120.480300661338 22.8906603066079)",宋俊輝診所,高雄市,旗山區,中正路232號1樓,07-6626336
"POINT (120.48433657349 22.8918470570406)",慈悅牙醫診所,高雄市,旗山區,民權三街19號2樓,(07)661-1026
"POINT (120.482630301076 22.8847938481124)",惠仁堂中醫診所,高雄市,旗山區,復新街11號1樓,07-6621633
"POINT (120.49486667123 22.9173897249356)",怡加牙醫診所,高雄市,旗山區,旗甲路二段99號1樓,07-669-2828
"POINT (120.483222678699 22.8836168824011)",聖星診所,高雄市,旗山區,延平一路689號1-3樓,662-2555
"POINT (120.483201002943 22.8959975898022)",鴻源診所,高雄市,旗山區,延平一路200號1~3樓,"0938880101"
"POINT (120.48480277646 22.8832899630218)",嘉惠診所,高雄市,旗山區,大同街42號1樓,07-662-1900
"POINT (120.484167394474 22.8838475753878)",宏安診所,高雄市,旗山區,至誠巷19號1樓,661-1186
"POINT (120.485107470716 22.8835081180926)",格林耳鼻喉科診所,高雄市,旗山區,大同街39號1樓,(07)662-3958
"POINT (120.484830286423 22.883164418256)",重安醫院,高雄市,旗山區,大仁街14、16、18、20、22、24、26號,07 66217836618471
"POINT (120.483732440185 22.8965615888954)",益祥診所,高雄市,旗山區,延平一路175號1~4樓,07-662-8008
"POINT (120.483167387387 22.8929269865379)",溪洲醫院,高雄市,旗山區,延平一路412、408號,07-6621985
"POINT (120.483647555432 22.8923982429345)",大政診所,高雄市,旗山區,延平一路337號1樓,07-6622588
"POINT (120.483102855921 22.8825644628048)",溫朝貴診所,高雄市,旗山區,東新街18號,07 6612558
"POINT (120.48433657349 22.8918470570406)",慈悅中醫診所,高雄市,旗山區,民權三街19號1樓,661-1025
"POINT (120.483303247574 22.8876785432437)",王鴻武中醫診所,高雄市,旗山區,延平一路517號,"6612812"
"POINT (120.483468864074 22.8848421518279)",王啟彰診所,高雄市,旗山區,復新東街8號,07 6622089
"POINT (120.497339057617 22.9222666428618)",圓潭診所,高雄市,旗山區,旗甲路二段348號,"6693669"
"POINT (120.482167791052 22.8907706034233)",鄭小兒科診所,高雄市,旗山區,中山路186號,07 6617842
"POINT (120.483214635494 22.8838904566863)",王致瑋小兒科診所,高雄市,旗山區,延平一路677號1樓,"6629922"
"POINT (120.483722998241 22.8974519840908)",一麟中醫診所,高雄市,旗山區,延平一路145號,07_6627510   6627516
"POINT (120.537967145132 22.9019224517229)",連康內傷科中醫診所,高雄市,美濃區,泰安路13號,07 6815322
"POINT (120.540859043397 22.8990711886774)",吳文豪診所,高雄市,美濃區,永安路257號,
"POINT (120.541768053285 22.901529181972)",李樹榮診所,高雄市,美濃區,中正路一段一七號,07 6812189
"POINT (120.538008739093 22.9019251463794)",霑龍診所,高雄市,美濃區,泰安路15號,"076812593"
"POINT (120.541447978635 22.9019266276172)",大于牙醫診所,高雄市,美濃區,中正路一段5號1樓,07-6810238
"POINT (120.546485306552 22.8941804726531)",萬安中醫診所,高雄市,美濃區,成功路129號,07-6811768
"POINT (120.540994077443 22.9016660564606)",佳美中醫診所,高雄市,美濃區,中山路一段10號,07-6810860
"POINT (120.547053110986 22.8939118491138)",高美診所,高雄市,美濃區,成功路139號4、5、6樓,07-6815566
"POINT (120.562844655137 22.879925110573)",龍肚診所,高雄市,美濃區,中華路11-1號1樓,07-68511183
"POINT (120.541285595018 22.8952148695392)",高雄市美濃區衛生所,高雄市,美濃區,美中路二四六號,07 6812064
"POINT (120.549926850476 22.8908243362265)",祐美診所,高雄市,美濃區,成功路277號1樓,07-6813777
"POINT (120.549254243652 22.8927993603181)",小太陽診所,高雄市,美濃區,成功路219-1號,07 6812332
"POINT (120.542410226862 22.8995305722316)",永明診所,高雄市,美濃區,永安路215號,07 6812803
"POINT (120.541241079637 22.9013019406241)",中山牙醫診所,高雄市,美濃區,中正路一段24號,07 6819139
"POINT (120.534798346058 22.8870689984579)",美濃牙醫診所,高雄市,美濃區,中正路二段二四七號,6820599    3865797
"POINT (120.542651075669 22.8951436330515)",群明中醫診所,高雄市,美濃區,美中路251號,(07)6820208
"POINT (120.391899154363 22.5076932183965)",陽明中醫診所,高雄市,林園區,信義路12號,07 6413690
"POINT (120.392574420546 22.5036934548199)",福昇中醫診所,高雄市,林園區,東林西路122號,"6423884"
"POINT (120.396491390211 22.5035131255285)",隆德中醫診所,高雄市,林園區,東林東路25號,07 6419667
"POINT (120.393791197812 22.5060081696294)",麟翔牙醫診所,高雄市,林園區,文化街166-2號,07 6430650
"POINT (120.394244575669 22.5067734226577)",大仁小兒科診所,高雄市,林園區,忠孝西路29號1樓,"6436000"
"POINT (120.394858886847 22.5104532632497)",聖岳骨科外科診所,高雄市,林園區,林園北路304號,07 6439199
"POINT (120.394848300939 22.5084144181482)",梅振英耳鼻喉科診所,高雄市,林園區,林園北路226號,07 6438553
"POINT (120.391238167403 22.5033393654111)",仁德耳鼻喉科診所,高雄市,林園區,東林西路166號,07-6412262
"POINT (120.394815877588 22.5100153181993)",新視界眼科診所,高雄市,林園區,林園北路284號,"6466119"
"POINT (120.385174567136 22.5055153696869)",長泰診所,高雄市,林園區,王公路483號,07-6452776
"POINT (120.392530715381 22.5068793586175)",加安診所,高雄市,林園區,忠孝西路61號,07-6433136
"POINT (120.389815217543 22.5035674409416)",林園吳牙醫診所,高雄市,林園區,文聖街10號,"076419887"
"POINT (120.396779467183 22.5243001996148)",劍豪牙醫診所,高雄市,林園區,潭頭路178號,07 6451361
"POINT (120.395105271416 22.5128491012566)",澄品牙醫診所,高雄市,林園區,林園北路384號,07-6430567
"POINT (120.391369636527 22.5033736920189)",正宜診所,高雄市,林園區,東林西路160號1樓,"6413300"
"POINT (120.392117260375 22.5077939327601)",珈一診所,高雄市,林園區,仁愛路163號1樓,"076413139"
"POINT (120.406656166784 22.4986938270873)",台灣中油公司石化事業部醫務室,高雄市,林園區,石化二路3號,07-6413701轉8747
"POINT (120.395237929847 22.5076645709198)",高雄市林園區衛生所,高雄市,林園區,林園北路186號,07 6412404
"POINT (120.395300900575 22.509010795873)",霖園醫院,高雄市,林園區,林園北路244號,07-6413399
"POINT (120.394870541298 22.5106385495054)",德益中醫診所,高雄市,林園區,林園北路308號1樓,"6417766"
"POINT (120.393417865634 22.5058622332034)",品嘉牙醫診所,高雄市,林園區,文化街175號1樓,07-6425538
"POINT (120.394648391338 22.5113624830429)",張育靖牙醫診所,高雄市,林園區,林園北路413號,"6430207"
"POINT (120.395740022074 22.5096811302909)",賴守志診所,高雄市,林園區,鳳林路二段123號,07 6451888
"POINT (120.389938046241 22.5032981250317)",冠林眼科診所,高雄市,林園區,東林西路216號1-2樓,07 6433788
"POINT (120.393485456812 22.512896806485)",東霖馬光中醫診所,高雄市,林園區,王公路37號1樓,"6469688"
"POINT (120.393320731634 22.5049881424782)",樂林牙醫診所,高雄市,林園區,文化街145、147號1樓,"09894630136411761"
"POINT (120.390830435841 22.5095712891027)",風華牙醫診所,高雄市,林園區,王公路233號1-2樓及235號1-2樓,"6416181"
"POINT (120.3886417309 22.503567633957)",蔡承訓診所,高雄市,林園區,東林西路270號,07 6452335
"POINT (120.395422224572 22.5086749664051)",陳耳鼻喉科診所,高雄市,林園區,林園北路234號,"6420796"
"POINT (120.396568365379 22.5037600579018)",建芳診所,高雄市,林園區,東林東路28號1樓,07-6467666
"POINT (120.39450331557 22.5101050578882)",幸福婦產科診所,高雄市,林園區,林園北路355號,"076418383"
"POINT (120.392955398212 22.504366476409)",鉅鈦牙醫診所,高雄市,林園區,仁愛路26號1樓,"0935775870"
"POINT (120.388821708185 22.5001136955754)",聯合王婦產科診所,高雄市,林園區,沿海路三段148號1樓,07-6425968
"POINT (120.397471422944 22.5035668884609)",川宏診所,高雄市,林園區,鳳林路一段83號1樓,07-6452520
"POINT (120.391797086994 22.5076935284282)",陳鍾靈診所,高雄市,林園區,信義路16號,07 6429653  6429651
"POINT (120.395046421754 22.5076895719112)",黃英豪診所,高雄市,林園區,林園北路188號,07 6412134
"POINT (120.390119592516 22.5032740224818)",廣仁診所,高雄市,林園區,東林西路208號,07 6434576
"POINT (120.389588640416 22.5030823078477)",楊文昌診所,高雄市,林園區,東林西路281號,07 6436411
"POINT (120.419172799739 22.5910136869403)",惠勝中醫診所,高雄市,大寮區,大寮路889號1-2樓,07-7888981
"POINT (120.394369149515 22.6370308945089)",鳳屏中醫診所,高雄市,大寮區,鳳屏一路556號1樓、558號1樓,07-7039900
"POINT (120.394369156475 22.6087785590269)",大芳牙醫診所,高雄市,大寮區,鳳林三路601號,07 7810727
"POINT (120.395584920706 22.6068145120709)",樂生婦幼醫院,高雄市,大寮區,鳳林三路532號,"7862688"
"POINT (120.394037038052 22.6368472179227)",親親家庭診所,高雄市,大寮區,鳳屏一路536號1-2樓、538號1樓,07 7013483
"POINT (120.394495414605 22.6371006374865)",大順診所,高雄市,大寮區,鳳屏一路562號,07 7038417
"POINT (120.394975307658 22.6373285798061)",鳳信診所,高雄市,大寮區,鳳屏一路578號1-2樓,"7036751"
"POINT (120.399382741205 22.6006799430129)",張文豪診所,高雄市,大寮區,力行路1-12號1樓,"7816276"
"POINT (120.384459997506 22.6181904292849)",陳骨外科診所,高雄市,大寮區,鳳林四路220號,07-7810240
"POINT (120.396719455004 22.6386261026367)",同喬眼科診所,高雄市,大寮區,鳳屏一路507號,"7027899"
"POINT (120.387907021826 22.615085006916)",大統內兒科診所,高雄市,大寮區,鳳林四路五十六號,"077836127"
"POINT (120.404207688932 22.5417887074688)",圓明診所,高雄市,大寮區,鳳林一路147號,07-6433298
"POINT (120.39377223953 22.6361115622996)",佳恩牙醫診所,高雄市,大寮區,四維路177號,07 7022239
"POINT (120.416096975014 22.591459677031)",泰安牙醫診所,高雄市,大寮區,大寮路763號1樓765號1樓,07-7885343
"POINT (120.393610414856 22.6356544439938)",大發牙醫診所,高雄市,大寮區,四維路160號,07 7038218
"POINT (120.385144893795 22.6169889783532)",真善美牙醫診所,高雄市,大寮區,鳳林四路225號,07-7813155
"POINT (120.396090346219 22.6066290246427)",田田牙醫診所,高雄市,大寮區,力行路259號12樓,"7827799"
"POINT (120.384789881977 22.6178559292233)",玉安中醫診所,高雄市,大寮區,鳳林四路196號,02 7825730
"POINT (120.390661899547 22.6123586127233)",漢泰隆中醫診所,高雄市,大寮區,鳳林三路799號,07 7827828
"POINT (120.393594726434 22.6045316900807)",高雄市大寮區衛生所,高雄市,大寮區,進學路129巷2-1號,07-7811965
"POINT (120.39750531631 22.6392363780725)",財團法人台灣省私立高雄仁愛之家附設慈惠醫院,高雄市,大寮區,鳳屏一路509號,07-7030315
"POINT (120.410693574615 22.592713293543)",大新診所,高雄市,大寮區,大寮路511號,07-7882651
"POINT (120.3850790378 22.6170551024014)",世林眼科診所,高雄市,大寮區,鳳林四路229號,07 7860227
"POINT (120.418506151394 22.6426021212885)",太樹診所,高雄市,大寮區,九和路9號,07 6518042
"POINT (120.400349245493 22.5990824780958)",謝外科診所,高雄市,大寮區,鳳林三路196號,07 7831770
"POINT (120.397711317921 22.6015025319793)",宜和內兒科診所,高雄市,大寮區,鳳林三路341號,07 7816825
"POINT (120.412496067994 22.5922677220163)",蕭宏儒診所,高雄市,大寮區,大寮路595號1樓,07-7889258
"POINT (120.395434593158 22.6062029203218)",佳和耳鼻喉科診所,高雄市,大寮區,鳳林三路516號1樓,"7821500"
"POINT (120.384491950197 22.6181580409727)",趙牙醫診所,高雄市,大寮區,鳳林四路216號1樓,07-7820888
"POINT (120.386224119354 22.616335577035)",大寮進安診所,高雄市,大寮區,鳳林四路134-1號,07-7812211
"POINT (120.385792481579 22.6167168316035)",洪耳鼻喉科診所,高雄市,大寮區,鳳林四路156號,07 7861305
"POINT (120.395468012716 22.6064346868641)",幸安診所,高雄市,大寮區,鳳林三路526號1、2樓,07-7812855
"POINT (120.408202966875 22.6148170594568)",杏安診所,高雄市,大寮區,林厝路53號1樓,07-7810565
"POINT (120.39770171938 22.6015402448586)",宜家診所,高雄市,大寮區,鳳林三路343號1-4樓,
"POINT (120.396265744657 22.6034788283865)",至誠中醫診所,高雄市,大寮區,鳳林三路423號1樓,07-7837338
"POINT (120.400195884828 22.5984943588532)",鳳林達特楊診所,高雄市,大寮區,鳳林三路179號1樓,07-7820000
"POINT (120.399804362906 22.5995601604738)",大有中醫診所,高雄市,大寮區,鳳林三路219號1樓,07-7861868
"POINT (120.398302690758 22.6011627515511)",周俊仁診所,高雄市,大寮區,鳳林三路300號1樓,07-7861168
"POINT (120.395122713802 22.6354803521303)",喉康診所,高雄市,大寮區,仁愛路82號1樓,07-7017100
"POINT (120.392669588244 22.6360905929044)",大承耳鼻喉科診所,高雄市,大寮區,鳳屏一路464號1樓2樓,07-7013668
"POINT (120.395053400077 22.6341796563733)",順親堂中醫診所,高雄市,大寮區,仁愛路140號,"7011123"
"POINT (120.393270048109 22.6364213156526)",大鋐診所,高雄市,大寮區,鳳屏一路492號1樓,07-7038188
"POINT (120.395886478556 22.6068960215546)",聖典牙醫診所,高雄市,大寮區,力行路277號1-4樓,07-7828899
"POINT (120.383239272192 22.619310889032)",趙眼科診所,高雄市,大寮區,鳳林四路280號,"7268576"
"POINT (120.384874366133 22.6176914409916)",瑞生醫院,高雄市,大寮區,鳳林四路192號,"077838843"
"POINT (120.394731693279 22.6083245111137)",張桐榮診所,高雄市,大寮區,鳳林三路573、575號,07-7825382
"POINT (120.395578198554 22.638173606775)",嘉德耳鼻喉科診所,高雄市,大寮區,鳳屏一路441.443號1樓,07-7022626
"POINT (120.395434929434 22.6060836424364)",天煌大豐中醫診所,高雄市,大寮區,鳳林三路506號1樓,"7865586"
"POINT (120.430020486637 22.5621192198593)",大發診所,高雄市,大寮區,潮龍路202號1樓,07-7882078
"POINT (120.386365508916 22.6162141115882)",禾大中醫診所,高雄市,大寮區,鳳林四路128號1樓,07-7815599
"POINT (120.395163502429 22.6076520690302)",其靈診所,高雄市,大寮區,鳳林三路541號1-2樓,07-7823335
"POINT (120.39111509348 22.6119797741485)",睿安中醫診所,高雄市,大寮區,鳳林三路775、777號1樓,07-7820365
"POINT (120.391838876203 22.6355781082223)",謝牙醫診所,高雄市,大寮區,鳳屏一路422號,07 7012803
"POINT (120.394699591557 22.6083520153522)",永芳牙醫診所,高雄市,大寮區,鳳林三路577號,"7836163"
"POINT (121.540028519742 24.9914824967916)",景美陳牙醫診所,臺北市,文山區,羅斯福路六段272號,02-29315006
"POINT (121.540992397409 24.9951365357109)",天光中醫診所,臺北市,文山區,羅斯福路六段158號,"0229353620"
"POINT (121.549437838516 25.0008299185454)",景美蔡登元婦產科診所,臺北市,文山區,興隆路二段189號,"0229331453"
"POINT (121.568481103949 24.9876276257654)",明瀚骨科診所,臺北市,文山區,保儀路58號(實際營業地址：1樓及第1層夾層),"29379955"
"POINT (121.548216256336 25.0002466182199)",童元釔齒顎矯正專科牙醫診所,臺北市,文山區,興隆路2段141號1樓,"29336383"
"POINT (121.556688105399 25.0051799804894)",欣成診所,臺北市,文山區,辛亥路4段128之1號3樓,"0289351237"
"POINT (121.555163948161 25.0004960398926)",蘇黎世診所,臺北市,文山區,興隆路3段28號(1樓、2樓),"0983817697"
"POINT (121.558708799269 24.9984090034987)",雅興牙醫診所,臺北市,文山區,興隆路3段133號(1樓),"0222301888"
"POINT (121.538658778748 25.0022263701939)",安心堂中醫診所,臺北市,文山區,羅斯福路5段216之2號1樓,02-23901288
"POINT (121.5397614577 24.9994896666636)",心田美學牙醫診所,臺北市,文山區,羅斯福路6段38號1樓,"0966728060"
"POINT (121.578527982388 24.987050073862)",吉品牙醫診所,臺北市,文山區,指南路2段203號(1樓),"0286618785"
"POINT (121.552622466382 25.001144409784)",合春中醫診所,臺北市,文山區,興隆路2段220巷1號1樓,8663-1119
"POINT (121.540845113367 24.9965476576119)",誠心身心醫學診所,臺北市,文山區,羅斯福路6段138號1樓,02-86631380
"POINT (121.541232131961 24.9913686864632)",至善醫坊中醫診所,臺北市,文山區,景文街46之1號2樓,
"POINT (121.548192959582 25.0002271963844)",東翰診所,臺北市,文山區,興隆路二段139號,02-29308330
"POINT (121.552229929134 25.0003316030295)",洵美牙醫診所,臺北市,文山區,興隆路2段220巷35號1樓,02-77566557
"POINT (121.551985451329 25.0016432688727)",文山上明眼科診所,臺北市,文山區,興隆路2段198號(1樓)、196號2樓之1,
"POINT (121.538984773235 25.001400456879)",禎美中醫診所,臺北市,文山區,羅斯福路5段240號1樓,"29316457"
"POINT (121.556363786885 24.9998185822193)",究美診所,臺北市,文山區,興隆路3段76號5樓之3,
"POINT (121.560328331893 24.9817667606691)",晴明中醫診所,臺北市,文山區,木新路3段186號1樓、2樓,
"POINT (121.551985451329 25.0016432688727)",泰明堂中醫診所,臺北市,文山區,興隆路2段198號(1樓)、196號2樓之1,
"POINT (121.540558527748 24.9916193744244)",山林診所,臺北市,文山區,羅斯福路6段407號2樓、2樓之1,02-29332010
"POINT (121.565955925643 24.9893517363781)",童芯牙醫診所,臺北市,文山區,久康街24巷7號1樓,02-29366707
"POINT (121.56224424657 24.9890276709882)",元昌堂中醫診所,臺北市,文山區,木柵路二段127號,"29360558"
"POINT (121.562073698692 24.9838702590769)",普仁診所,臺北市,文山區,興隆路四段171號,"0229369987"
"POINT (121.576841847304 24.9875403609177)",維新牙醫診所,臺北市,文山區,指南路二段129號,"29367410"
"POINT (121.558330279011 25.0003062788525)",臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市,文山區,興隆路三段111號,"0229307930"
"POINT (121.559304737943 24.9980482353861)",臺灣警察專科學校醫務室,臺北市,文山區,興隆路三段153號,"22308272"
"POINT (121.538159812727 25.0045327551629)",李聯合診所,臺北市,文山區,羅斯福路五段170巷1－3號2樓,"0229343881"
"POINT (121.544842786428 24.9973236688184)",德方中醫診所,臺北市,文山區,景興路39之2號1樓,"86631601"
"POINT (121.54123375678 24.9915727858579)",建宏牙醫診所,臺北市,文山區,景文街46號,"86633076"
"POINT (121.540183570038 24.9918689230884)",佳鴻診所,臺北市,文山區,羅斯福路6段256號1樓,02-29333096
"POINT (121.551264266703 25.0027365672798)",多美牙醫診所,臺北市,文山區,福興路23號,02-29329299
"POINT (121.570459265999 24.9879909142952)",聞容中醫診所,臺北市,文山區,指南路一段47之1號,"82370665"
"POINT (121.558941826858 24.9978446820618)",東山中醫診所,臺北市,文山區,興隆路三段198號,"0229339595"
"POINT (121.561247546385 24.9817262543279)",睿安牙醫診所,臺北市,文山區,木新路3段153號1、2、3樓,"29371266"
"POINT (121.541769999602 24.9939999999348)",亞美光聯合牙醫診所,臺北市,文山區,景美街一之六號一樓及地下一樓,"29337678"
"POINT (121.565692897818 24.988555846818)",文山牙醫診所,臺北市,文山區,木柵路3段37號(1樓)及39號(1樓),"0229377770"
"POINT (121.559286554186 24.9840112812147)",健鑫診所,臺北市,文山區,忠順街一段28號,"29375680"
"POINT (121.56049843901 24.9883403255491)",徐慧玲診所,臺北市,文山區,興隆路四段97號,"22340000"
"POINT (121.540152130858 24.9917905863738)",德康耳鼻喉科診所,臺北市,文山區,羅斯福路六段260號,"29305866"
"POINT (121.559447125236 24.9842166985882)",世誠耳鼻喉科診所,臺北市,文山區,忠順街一段107號1樓,"23343618"
"POINT (121.561247546385 24.9817262543279)",沐芯牙醫診所,臺北市,文山區,木新路3段153號1、2、3樓,"29371266"
"POINT (121.540863634675 24.9938353164868)",品橙牙醫診所,臺北市,文山區,羅斯福路六段200號,"29359081"
"POINT (121.56113003424 24.9843209783754)",養生堂中醫診所,臺北市,文山區,忠順街1段80號1樓,"29395158"
"POINT (121.559748839968 24.9815813109261)",吳錫賢診所,臺北市,文山區,木新路三段208號1樓,"0229381577"
"POINT (121.565410355381 24.9827104102332)",台欣牙醫診所,臺北市,文山區,木新路二段297號,"0229391797"
"POINT (121.540154468948 24.9907309964135)",精英牙醫診所,臺北市,文山區,羅斯福路六段435號之1,"0229347222"
"POINT (121.559439256477 24.9819066848024)",寶顧中醫診所,臺北市,文山區,木新路三段232巷6弄10號,"29370583"
"POINT (121.538817055363 25.0017822776611)",和沛身心醫學診所,臺北市,文山區,羅斯福路五段232號,02-29350330
"POINT (121.562749019111 24.9822749551573)",平安耳鼻喉科診所,臺北市,文山區,木新路三段106號1樓,"86611963"
"POINT (121.583617810649 24.9868671114156)",康喬自然診所,臺北市,文山區,政大二街51之1號(1樓),02-25338191
"POINT (121.559554223482 24.989673073883)",長欣婦產科診所,臺北市,文山區,興隆路四段六十號一樓,"29367898"
"POINT (121.573872633272 24.99822204668)",愛文婦產科診所,臺北市,文山區,木柵路4段141號1樓及143號1樓,"0229309998"
"POINT (121.555132355046 25.0005093631728)",夏安皮膚專科診所,臺北市,文山區,興隆路3段26號(1樓、2樓),02-86638099
"POINT (121.539760899973 25.0005193835478)",意一堂中醫診所,臺北市,文山區,羅斯福路5段295號1、2樓,"0229344077"
"POINT (121.546785817405 24.9955804120132)",景華牙醫診所,臺北市,文山區,景華街一二二號一樓,"0229304167"
"POINT (121.561837146583 24.9889812512391)",頌恩牙醫診所,臺北市,文山區,木柵路二段111號1樓,"0229385100"
"POINT (121.559784784828 24.9949424200641)",文山復健科診所,臺北市,文山區,興隆路三段207之4號、207之5號,"22397887"
"POINT (121.567662728761 24.9886686586252)",順欣診所,臺北市,文山區,木柵路3段112號(實際營業地址：一層、二層),"29391011"
"POINT (121.569207557874 24.9875383804408)",美學辰安牙醫診所,臺北市,文山區,指南路1段18號1樓,"0229398868"
"POINT (121.544820376472 24.9956129398613)",星福中醫診所,臺北市,文山區,景興路93號,"29312622"
"POINT (121.539067286878 25.0047258962314)",萬隆力康復健科診所,臺北市,文山區,羅斯福路5段127號2樓、129號2樓,
"POINT (121.540964159471 24.988969513442)",千順中醫診所,臺北市,文山區,景文街173號,"29308996"
"POINT (121.559115113829 24.9977085777002)",陳啟義眼科診所,臺北市,文山區,興隆路三段204號1樓,02 22395988
"POINT (121.545507888249 24.9988987467551)",興隆內科小兒科診所,臺北市,文山區,興隆路二段17號,"0229311736"
"POINT (121.560022063735 24.9816472908053)",樂群耳鼻喉科家醫科診所,臺北市,文山區,木新路三段202號,"22340158"
"POINT (121.556544934059 25.0002579300412)",黃皮膚科診所,臺北市,文山區,興隆路三段79巷5號1及2樓,"0229349151"
"POINT (121.54480682959 24.9944348300559)",震杰小兒科診所,臺北市,文山區,景興路129號1樓,"89351869"
"POINT (121.573872633272 24.99822204668)",愛文診所,臺北市,文山區,木柵路4段141號1樓及143號1樓,"0229309998"
"POINT (121.544386232911 24.9989598825503)",仁耀診所,臺北市,文山區,興隆路一段273號,"0229317788"
"POINT (121.567713923706 24.9837283503364)",保順診所,臺北市,文山區,木新路二段206號,"0229396868"
"POINT (121.539170873965 25.0019919697873)",楊向榮耳鼻喉科診所,臺北市,文山區,羅斯福路五段223號,"0229314554"
"POINT (121.539358482453 25.0041827565605)",興隆李內兒科診所,臺北市,文山區,興隆路一段12號,"0229314537"
"POINT (121.539250661021 25.0007328190654)",慈慧內科眼科聯合診所,臺北市,文山區,羅斯福路五段264號,"0229328036"
"POINT (121.541031998845 24.9905137905444)",陳建業診所,臺北市,文山區,景文街86號(1樓、2樓)、107號6樓,"29358181"
"POINT (121.546238772915 24.9991035951363)",瀚霖眼科診所,臺北市,文山區,興隆路二段67號,"0229333771"
"POINT (121.558699999606 24.9986799996758)",葉洪小兒科診所,臺北市,文山區,興隆路三段二Ｏ二號一樓,"0222300055"
